entry_SYSCALL_64,595709
do_syscall_64,143717
arch_static_branch,7651
syscall_enter_from_user_mode,53557
do_syscall_x64,60991
array_index_mask_nospec,15302
__x86_indirect_thunk_rax,15302
__x64_sys_mmap,2547
syscall_exit_to_user_mode,631551
__x64_sys_mprotect,9139851
asm_exc_page_fault,36013289
__x64_sys_rt_sigprocmask,527
__x64_sys_clone3,7557
asm_sysvec_apic_timer_interrupt,5915979
__x64_sys_brk,259837
__x64_sys_rseq,28
__x64_sys_set_robust_list,11
__x64_sys_write,7167
__x64_sys_munmap,8912
__x64_sys_futex,743141
