entry_SYSCALL_64,592073
do_syscall_64,142875
arch_static_branch,7607
syscall_enter_from_user_mode,53249
do_syscall_x64,60633
array_index_mask_nospec,15214
__x86_indirect_thunk_rax,15214
__x64_sys_mmap,2741
syscall_exit_to_user_mode,619094
__x64_sys_mprotect,19144810
asm_exc_page_fault,82851827
__x64_sys_rt_sigprocmask,527
__x64_sys_clone3,7633
asm_sysvec_apic_timer_interrupt,5900162
__x64_sys_brk,337636
__x64_sys_rseq,28
__x64_sys_set_robust_list,11
__x64_sys_write,7167
__x64_sys_munmap,2123134
__x64_sys_futex,733062
