,_2023-11-25-03-15-20_iter2,_2023-11-25-03-15-20_iter3,_2023-11-25-03-15-20_iter4,_2023-11-25-03-15-20_iter5,_2023-11-25-03-15-20_iter6,_2023-11-25-03-15-20_iter7,_2023-11-25-20-53-04_iter1,mean,geo_mean,_2023-11-25-03-15-20_iter2_std,_2023-11-25-03-15-20_iter3_std,_2023-11-25-03-15-20_iter4_std,_2023-11-25-03-15-20_iter5_std,_2023-11-25-03-15-20_iter6_std,_2023-11-25-03-15-20_iter7_std,_2023-11-25-20-53-04_iter1_std,overall_std,_2023-11-25-03-15-20_iter1,_2023-11-25-03-15-20_iter1_std,_2023-11-27-00-02-03_iter1,_2023-11-27-00-02-03_iter2,_2023-11-27-00-02-03_iter3,_2023-11-27-00-02-03_iter4,_2023-11-27-00-02-03_iter5,_2023-11-27-00-02-03_iter6,_2023-11-27-00-02-03_iter7,_2023-11-27-00-02-03_iter1_std,_2023-11-27-00-02-03_iter2_std,_2023-11-27-00-02-03_iter3_std,_2023-11-27-00-02-03_iter4_std,_2023-11-27-00-02-03_iter5_std,_2023-11-27-00-02-03_iter6_std,_2023-11-27-00-02-03_iter7_std
small write,5.67e-07,5.59e-07,5.59e-07,5.64e-07,5.59e-07,5.59e-07,,5.611666666666667e-07,,5.21e-07,4.87e-07,4.91e-07,5.33e-07,5.2e-07,5.31e-07,,,,,,,,,,,,,,,,,,
small read,3.59e-07,3.58e-07,3.55e-07,3.54e-07,3.57e-07,3.54e-07,,3.5585714285714284e-07,3.558517604109992e-07,5.435e-06,6.239e-06,5.301e-06,5.836e-06,6.241e-06,5.623e-06,,5.750876815134988e-06,3.54e-07,5.506e-06,,,,,,,,,,,,,,
small page fault,,,,,,,,7.345714285714286e-07,7.34561510419965e-07,,,,,,,,5.078693434339191e-06,,,7.34e-07,7.37e-07,7.38e-07,7.32e-07,7.27e-07,7.35e-07,7.39e-07,5.133e-06,4.992e-06,5.609e-06,5.117e-06,4.325e-06,4.935e-06,5.346e-06
mid write,3.174e-06,3.191e-06,3.18e-06,3.178e-06,3.173e-06,3.175e-06,,3.180714285714286e-06,3.1807046986092206e-06,2.15e-07,2.21e-07,2.32e-07,2.15e-07,2.1e-07,2.22e-07,,2.2025147964477852e-07,3.194e-06,2.26e-07,,,,,,,,,,,,,,
mid read,1.923e-06,1.94e-06,1.918e-06,1.921e-06,1.93e-06,1.92e-06,,1.9241428571428575e-06,1.9241279467482446e-06,8.056e-06,8.354e-06,7.963e-06,8.195e-06,8.284e-06,8.319e-06,,8.156936741203772e-06,1.917e-06,7.916e-06,,,,,,,,,,,,,,
small page fault,,,,,,,,7.345714285714286e-07,7.34561510419965e-07,,,,,,,,5.078693434339191e-06,,,7.34e-07,7.37e-07,7.38e-07,7.32e-07,7.27e-07,7.35e-07,7.39e-07,5.133e-06,4.992e-06,5.609e-06,5.117e-06,4.325e-06,4.935e-06,5.346e-06
mid page fault,,,,,,,,1.2944285714285712e-06,1.294277065037658e-06,,,,,,,,4.616072356451966e-06,,,1.301e-06,1.247e-06,1.299e-06,1.301e-06,1.304e-06,1.309e-06,1.3e-06,4.267e-06,4.747e-06,5.04e-06,4.901e-06,4.486e-06,4.502e-06,4.313e-06
big page fault,,,,,,,,1.869142857142857e-06,1.8691213073062879e-06,,,,,,,,4.4838943054957425e-06,,,1.866e-06,1.86e-06,1.885e-06,1.86e-06,1.874e-06,1.862e-06,1.877e-06,4.745e-06,4.436e-06,4.432e-06,5.025e-06,4.529e-06,4.311e-06,3.815e-06
huge page fault,,,,,,,,1.8752857142857143e-06,1.8751673561282895e-06,,,,,,,,4.439265495873968e-06,,,1.886e-06,1.864e-06,1.877e-06,1.853e-06,1.862e-06,1.921e-06,1.864e-06,4.434e-06,4.805e-06,5.076e-06,4.142e-06,4.167e-06,4.256e-06,4.099e-06
small anony page fault,,,,,,,,9.402857142857142e-07,9.402677072410714e-07,,,,,,,,4.280687528223208e-08,,,9.39e-07,9.42e-07,9.34e-07,9.36e-07,9.49e-07,9.34e-07,9.48e-07,4e-08,4.1e-08,4.6e-08,4.1e-08,4.8e-08,4.2e-08,4.1e-08
huge anony page fault,,,,,,,,9.82857142857143e-07,9.828349077942935e-07,,,,,,,,4.4030833352484776e-08,,,9.83e-07,9.83e-07,9.83e-07,9.93e-07,9.86e-07,9.69e-07,9.83e-07,4.5e-08,4.5e-08,4.8e-08,4.8e-08,4.5e-08,3.8e-08,3.8e-08
