,_2023-11-25-19-19-48_iter1,_2023-11-25-19-19-48_iter2,_2023-11-25-19-19-48_iter3,_2023-11-25-19-19-48_iter4,_2023-11-25-19-19-48_iter5,_2023-11-25-19-19-48_iter6,_2023-11-25-19-19-48_iter7,mean,geo_mean,_2023-11-25-19-19-48_iter1_std,_2023-11-25-19-19-48_iter2_std,_2023-11-25-19-19-48_iter3_std,_2023-11-25-19-19-48_iter4_std,_2023-11-25-19-19-48_iter5_std,_2023-11-25-19-19-48_iter6_std,_2023-11-25-19-19-48_iter7_std,overall_std,_2023-11-26-23-44-51_iter1,_2023-11-26-23-44-51_iter2,_2023-11-26-23-44-51_iter3,_2023-11-26-23-44-51_iter4,_2023-11-26-23-44-51_iter5,_2023-11-26-23-44-51_iter6,_2023-11-26-23-44-51_iter7,_2023-11-26-23-44-51_iter1_std,_2023-11-26-23-44-51_iter2_std,_2023-11-26-23-44-51_iter3_std,_2023-11-26-23-44-51_iter4_std,_2023-11-26-23-44-51_iter5_std,_2023-11-26-23-44-51_iter6_std,_2023-11-26-23-44-51_iter7_std,_2023-11-25-00-41-12_iter5,_2023-11-25-00-41-12_iter6,_2023-11-25-00-41-12_iter7,_2023-11-25-00-41-12_iter5_std,_2023-11-25-00-41-12_iter6_std,_2023-11-25-00-41-12_iter7_std,_2023-11-25-00-41-12_iter1,_2023-11-25-00-41-12_iter2,_2023-11-25-00-41-12_iter3,_2023-11-25-00-41-12_iter4,_2023-11-25-00-41-12_iter1_std,_2023-11-25-00-41-12_iter2_std,_2023-11-25-00-41-12_iter3_std,_2023-11-25-00-41-12_iter4_std
small write,5.47e-07,5.47e-07,5.48e-07,5.46e-07,5.45e-07,5.46e-07,5.51e-07,5.471428571428571e-07,5.471398803234986e-07,6.5e-07,5.07e-07,5.84e-07,5.02e-07,5.23e-07,4.97e-07,5.18e-07,5.426747249898941e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small read,3.53e-07,3.55e-07,3.59e-07,3.52e-07,3.56e-07,3.58e-07,3.58e-07,3.558571428571429e-07,3.5584852871231935e-07,5.632e-06,5.385e-06,5.609e-06,5.54e-06,5.164e-06,5.779e-06,5.745e-06,5.554134778960368e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small page fault,,,,,,,,7.314285714285714e-07,7.314209867148396e-07,,,,,,,,4.989730382066178e-06,7.32e-07,7.29e-07,7.33e-07,7.34e-07,7.27e-07,7.37e-07,7.28e-07,4.934e-06,4.762e-06,5.543e-06,5e-06,4e-06,5.78e-06,4.704e-06,,,,,,,,,,,,,,
mid write,3.155e-06,3.18e-06,3.177e-06,,,,,3.1770000000000002e-06,,2.08e-07,2.32e-07,2.19e-07,,,,,,,,,,,,,,,,,,,,3.179e-06,3.192e-06,3.179e-06,2.26e-07,2.17e-07,2.15e-07,,,,,,,,
mid read,,,,,,,,1.926285714285714e-06,1.9262559365943888e-06,,,,,,,,8.30784991954683e-06,,,,,,,,,,,,,,,1.919e-06,1.943e-06,1.915e-06,8.164e-06,9.722e-06,7.677e-06,1.912e-06,1.936e-06,1.926e-06,1.933e-06,8.237e-06,8.153e-06,7.803e-06,8.236e-06
mid page fault,,,,,,,,1.2678571428571428e-06,1.2648073809368322e-06,,,,,,,,4.598381003912448e-06,1.296e-06,1.309e-06,1.063e-06,1.296e-06,1.306e-06,1.296e-06,1.309e-06,4.502e-06,4.824e-06,5.129e-06,4.681e-06,4.724e-06,4.249e-06,3.986e-06,,,,,,,,,,,,,,
big page fault,,,,,,,,1.8854285714285713e-06,1.885364062645083e-06,,,,,,,,4.496972013001002e-06,1.867e-06,1.902e-06,1.869e-06,1.894e-06,1.905e-06,1.868e-06,1.893e-06,4.424e-06,4.935e-06,4.431e-06,4.507e-06,4.12e-06,4.351e-06,4.667e-06,,,,,,,,,,,,,,
huge page fault,,,,,,,,1.8865714285714283e-06,1.8865234247517285e-06,,,,,,,,4.3084577287006075e-06,1.895e-06,1.9e-06,1.896e-06,1.862e-06,1.881e-06,1.874e-06,1.898e-06,4.962e-06,4.069e-06,4.388e-06,4.137e-06,4.373e-06,4.06e-06,4.097e-06,,,,,,,,,,,,,,
small anony page fault,,,,,,,,9.414285714285714e-07,9.413567642052491e-07,,,,,,,,4.145910205078184e-08,9.36e-07,9.47e-07,9.31e-07,9.28e-07,9.55e-07,9.33e-07,9.6e-07,4e-08,4e-08,4.2e-08,4.1e-08,4.5e-08,4.1e-08,4.1e-08,,,,,,,,,,,,,,
huge anony page fault,,,,,,,,9.785714285714287e-07,9.785529942359266e-07,,,,,,,,4.905681836983956e-08,9.82e-07,9.67e-07,9.84e-07,9.74e-07,9.76e-07,9.83e-07,9.84e-07,4.8e-08,4e-08,4.8e-08,6e-08,5.4e-08,5.1e-08,3.9e-08,,,,,,,,,,,,,,
