OS Benchmark experiment
Test Name:,5.15.0-vanilla,
       ref          kbest:,0.000000017,
       ref        average:,0.000000018,0.000000004
       cpu          kbest:,0.003007397,
       cpu        average:,0.003008984,0.000001144
    getpid          kbest:,0.000000099,
    getpid        average:,0.000000103,0.000000017
context_switch          kbest:,0.000003388,
context_switch        average:,0.000003450,0.000000020
      send          kbest:,0.000000385,
      send        average:,0.000000446,0.000001508
      recv          kbest:,0.000000315,
      recv        average:,0.000000379,0.000001076
  big_send          kbest:,0.000005997,
  big_send        average:,0.000006481,0.000002025
  big_recv          kbest:,0.000004306,
  big_recv        average:,0.000004435,0.000000923
      fork          kbest:,0.000033995,
      fork       average:,0.000035423,0.000008456,
      fork    Child kbest:,0.000050788,
      fork Child average:,0.000052385,0.000009382,
thr_create          kbest:,0.000002901,
thr_create       average:,0.000004003,0.000008307,
thr_create    Child kbest:,0.000006067,
thr_create Child average:,0.000007373,0.000011336,
  big_fork          kbest:,0.001252993,
  big_fork       average:,0.001270871,0.000019169,
  big_fork    Child kbest:,0.001278262,
  big_fork Child average:,0.001296323,0.000019452,
 huge_fork          kbest:,0.002485929,
 huge_fork       average:,0.002520532,0.000030215,
 huge_fork    Child kbest:,0.002511836,
 huge_fork Child average:,0.002546479,0.000030338,
small_write          kbest:,0.000000991,
small_write        average:,0.000001269,0.000000878
small_read          kbest:,0.000000389,
small_read        average:,0.000000431,0.000004417
small_mmap          kbest:,0.000000409,
small_mmap        average:,0.000000459,0.000007249
small_munmap          kbest:,0.000001028,
small_munmap        average:,0.000001076,0.000000659
small_page_fault          kbest:,0.000000702,
small_page_fault        average:,0.000000729,0.000001621
 mid_write          kbest:,0.000004631,
 mid_write        average:,0.000004780,0.000000291
  mid_read          kbest:,0.000001870,
  mid_read        average:,0.000001962,0.000005881
  mid_mmap          kbest:,0.000000422,
  mid_mmap        average:,0.000000456,0.000003266
mid_munmap          kbest:,0.000003463,
mid_munmap        average:,0.000003751,0.000000194
mid_page_fault          kbest:,0.000001255,
mid_page_fault        average:,0.000001306,0.000001559
 big_write          kbest:,0.000475360,
 big_write        average:,0.000480232,0.000028298
  big_read          kbest:,0.000331780,
  big_read        average:,0.000333506,0.000002819
  big_mmap          kbest:,0.000000448,
  big_mmap        average:,0.000000487,0.000006386
big_munmap          kbest:,0.000100449,
big_munmap        average:,0.000102406,0.000003475
big_page_fault          kbest:,0.000001798,
big_page_fault        average:,0.000001897,0.000005057
huge_write          kbest:,0.010849792,
huge_write        average:,0.011544085,0.002495974
 huge_read          kbest:,0.012022538,
 huge_read        average:,0.012214906,0.000087595
 huge_mmap          kbest:,0.000000417,
 huge_mmap        average:,0.000000450,0.000003408
huge_munmap          kbest:,0.001280425,
huge_munmap        average:,0.001311231,0.000032569
huge_page_fault          kbest:,0.000002015,
huge_page_fault        average:,0.000002134,0.000002031
    select          kbest:,0.000000543,
    select        average:,0.000000673,0.000009232
      poll          kbest:,0.000000421,
      poll        average:,0.000000515,0.000007458
     epoll          kbest:,0.000000654,
     epoll        average:,0.000000765,0.000007272
select_big          kbest:,0.000055250,
select_big        average:,0.000108610,0.000177392
  poll_big          kbest:,0.000058083,
  poll_big        average:,0.000111931,0.000174705
 epoll_big          kbest:,0.000108308,
 epoll_big        average:,0.000171774,0.000174382
