OS Benchmark experiment
Test Name:,5.15.0-vanilla,
       ref          kbest:,0.000000017,
       ref        average:,0.000000018,0.000000017
       cpu          kbest:,0.003007388,
       cpu        average:,0.003009264,0.000002330
    getpid          kbest:,0.000000101,
    getpid        average:,0.000000104,0.000000021
context_switch          kbest:,0.000003387,
context_switch        average:,0.000003453,0.000000019
      send          kbest:,0.000000384,
      send        average:,0.000000440,0.000001083
      recv          kbest:,0.000000315,
      recv        average:,0.000000374,0.000000616
  big_send          kbest:,0.000005761,
  big_send        average:,0.000006318,0.000000954
  big_recv          kbest:,0.000004304,
  big_recv        average:,0.000004469,0.000001795
      fork          kbest:,0.000033945,
      fork       average:,0.000035312,0.000007174,
      fork    Child kbest:,0.000049208,
      fork Child average:,0.000050705,0.000008204,
thr_create          kbest:,0.000002899,
thr_create       average:,0.000004048,0.000009699,
thr_create    Child kbest:,0.000006101,
thr_create Child average:,0.000007462,0.000013662,
  big_fork          kbest:,0.001253298,
  big_fork       average:,0.001271846,0.000019033,
  big_fork    Child kbest:,0.001278621,
  big_fork Child average:,0.001297457,0.000019229,
 huge_fork          kbest:,0.002497951,
 huge_fork       average:,0.002532714,0.000035995,
 huge_fork    Child kbest:,0.002524122,
 huge_fork Child average:,0.002558594,0.000036074,
small_write          kbest:,0.000001091,
small_write        average:,0.000001655,0.000000931
small_read          kbest:,0.000000389,
small_read        average:,0.000000448,0.000007149
small_mmap          kbest:,0.000000411,
small_mmap        average:,0.000000430,0.000000294
small_munmap          kbest:,0.000001030,
small_munmap        average:,0.000001090,0.000000864
small_page_fault          kbest:,0.000000698,
small_page_fault        average:,0.000000730,0.000002264
 mid_write          kbest:,0.000005052,
 mid_write        average:,0.000005365,0.000000355
  mid_read          kbest:,0.000001872,
  mid_read        average:,0.000001948,0.000002249
  mid_mmap          kbest:,0.000000423,
  mid_mmap        average:,0.000000455,0.000003776
mid_munmap          kbest:,0.000003602,
mid_munmap        average:,0.000003712,0.000000193
mid_page_fault          kbest:,0.000001256,
mid_page_fault        average:,0.000001320,0.000002057
 big_write          kbest:,0.000475989,
 big_write        average:,0.000480744,0.000027645
  big_read          kbest:,0.000332293,
  big_read        average:,0.000333892,0.000002919
  big_mmap          kbest:,0.000000412,
  big_mmap        average:,0.000000450,0.000006268
big_munmap          kbest:,0.000100661,
big_munmap        average:,0.000102484,0.000002623
big_page_fault          kbest:,0.000001801,
big_page_fault        average:,0.000001907,0.000002695
huge_write          kbest:,0.010887935,
huge_write        average:,0.011453895,0.001951039
 huge_read          kbest:,0.012016259,
 huge_read        average:,0.012230897,0.000062856
 huge_mmap          kbest:,0.000000412,
 huge_mmap        average:,0.000000446,0.000003969
huge_munmap          kbest:,0.001282335,
huge_munmap        average:,0.001358564,0.000045310
huge_page_fault          kbest:,0.000001811,
huge_page_fault        average:,0.000001923,0.000002190
    select          kbest:,0.000000543,
    select        average:,0.000000668,0.000008453
      poll          kbest:,0.000000426,
      poll        average:,0.000000508,0.000007632
     epoll          kbest:,0.000000647,
     epoll        average:,0.000000806,0.000010783
select_big          kbest:,0.000056736,
select_big        average:,0.000108471,0.000167247
  poll_big          kbest:,0.000059432,
  poll_big        average:,0.000114168,0.000196880
 epoll_big          kbest:,0.000107828,
 epoll_big        average:,0.000175217,0.000191090
