,2023-11-19-19-36-56_mean,2023-11-19-20-01-09_mean,2023-11-19-20-25-18_mean,2023-11-19-20-49-35_mean,2023-11-19-21-13-50_mean,mean,geo_mean,2023-11-19-19-36-56_std,2023-11-19-20-01-09_std,2023-11-19-20-25-18_std,2023-11-19-20-49-35_std,2023-11-19-21-13-50_std,overall_std
ref,1.8e-08,1.8e-08,1.8e-08,1.8e-08,1.8e-08,1.8e-08,1.8000000000000026e-08,4e-09,8e-09,1.3e-08,8e-09,4e-09,8.1117199162693e-09
cpu,0.003009079,0.003009283,0.003009,0.00300895,0.003009483,0.003009159,0.003009158993496222,1.294e-06,2.378e-06,1.597e-06,1.429e-06,2.837e-06,1.9985163997325614e-06
getpid,1.03e-07,1.03e-07,1.03e-07,1.03e-07,1.02e-07,1.028e-07,1.0279921874553328e-07,1.6e-08,1.5e-08,1.3e-08,1.3e-08,1.1e-08,1.3711309200802088e-08
context switch,3.451e-06,3.45e-06,3.447e-06,3.445e-06,3.448e-06,3.4482e-06,3.448199338747618e-06,2.2e-08,2e-08,2e-08,1.9e-08,1.9e-08,2.0029977533686853e-08
send,4.41e-07,4.4e-07,4.43e-07,4.39e-07,4.43e-07,4.4119999999999995e-07,4.411970985572639e-07,1.071e-06,9.98e-07,1.597e-06,7.3e-07,1.205e-06,1.1557144110895217e-06
recv,3.8e-07,3.83e-07,3.8e-07,3.77e-07,3.75e-07,3.79e-07,3.78989970475896e-07,1.045e-06,1.689e-06,1.024e-06,8.06e-07,5.86e-07,1.0941987022474482e-06
big send,6.397e-06,6.558e-06,6.343e-06,6.462e-06,6.297e-06,6.4114e-06,6.4107468005363335e-06,1.477e-06,1.963e-06,1.436e-06,1.669e-06,1.321e-06,1.5891882204446396e-06
big recv,4.508e-06,4.425e-06,4.445e-06,4.452e-06,4.461e-06,4.4582e-06,4.458114980742574e-06,1.983e-06,1.187e-06,1.482e-06,9.87e-07,1.497e-06,1.4664760482189949e-06
fork,3.5351e-05,3.5385e-05,3.5688e-05,3.5197e-05,3.5369e-05,3.5398e-05,3.539764003932853e-05,6.947e-06,8.312e-06,7.249e-06,7.673e-06,6.927e-06,7.439844245681491e-06
fork Child,5.2369e-05,5.096e-05,5.2759e-05,5.0693e-05,5.0907e-05,5.15376e-05,5.153059424068714e-05,8.546e-06,9.701e-06,9.064e-06,9.418e-06,8.531e-06,9.063953861312401e-06
