,2023-11-19-21-37-01_mean,2023-11-19-22-00-04_mean,2023-11-19-22-23-12_mean,2023-11-19-22-46-27_mean,2023-11-19-23-09-36_mean,mean,geo_mean,2023-11-19-21-37-01_std,2023-11-19-22-00-04_std,2023-11-19-22-23-12_std,2023-11-19-22-46-27_std,2023-11-19-23-09-36_std,overall_std
ref,1.8e-08,1.8e-08,1.8e-08,1.8e-08,1.8e-08,1.8e-08,1.8000000000000026e-08,4e-09,1.7e-08,1e-08,1.2e-08,3e-09,1.0564090116995407e-08
cpu,0.003008984,0.003009264,0.003009071,0.003009107,0.003009356,0.0030091564,0.0030091563969801348,1.144e-06,2.33e-06,1.479e-06,1.497e-06,2.263e-06,1.8048409902260088e-06
getpid,1.03e-07,1.04e-07,1.02e-07,1.03e-07,1.02e-07,1.028e-07,1.0279728070999951e-07,1.7e-08,2.1e-08,2.9e-08,1.3e-08,1.3e-08,1.953970317072396e-08
context switch,3.45e-06,3.453e-06,3.45e-06,3.448e-06,3.454e-06,3.451e-06,3.450999304582847e-06,2e-08,1.9e-08,1.9e-08,2e-08,2.1e-08,1.981413636775522e-08
send,4.46e-07,4.4e-07,4.37e-07,4.4e-07,4.39e-07,4.4040000000000005e-07,4.40389781937731e-07,1.508e-06,1.083e-06,5.45e-07,9.34e-07,7.56e-07,1.0186137638967971e-06
recv,3.79e-07,3.74e-07,3.83e-07,3.79e-07,3.8e-07,3.79e-07,3.7898888970722976e-07,1.076e-06,6.16e-07,1.327e-06,1.058e-06,6.48e-07,9.836085603531519e-07
big send,6.481e-06,6.318e-06,6.283e-06,6.346e-06,6.402e-06,6.366e-06,6.365622616442826e-06,2.025e-06,9.54e-07,1.857e-06,1.315e-06,1.721e-06,1.621743259582108e-06
big recv,4.435e-06,4.469e-06,4.43e-06,4.426e-06,4.504e-06,4.4528e-06,4.45270065316347e-06,9.23e-07,1.795e-06,1.11e-06,1.009e-06,2.026e-06,1.4442168119780352e-06
fork,3.5423e-05,3.5312e-05,3.5469e-05,3.5096e-05,3.5454e-05,3.53508e-05,3.5350526969805824e-05,8.456e-06,7.174e-06,8.261e-06,6.852e-06,7.978e-06,7.769333575024309e-06
fork Child,5.2385e-05,5.0705e-05,5.2426e-05,5.1551e-05,5.2484e-05,5.19102e-05,5.1905537886808457e-05,9.382e-06,8.204e-06,9.549e-06,8.514e-06,9.255e-06,8.996156534876436e-06
thr create,4.003e-06,4.048e-06,4.113e-06,3.976e-06,3.929e-06,4.0138000000000004e-06,4.013309393511576e-06,8.307e-06,9.699e-06,1.3375e-05,8.691e-06,9.156e-06,1.001332404349325e-05
thr create Child,7.373e-06,7.462e-06,7.508e-06,7.384e-06,7.336e-06,7.4126e-06,7.412333492015867e-06,1.1336e-05,1.3662e-05,1.5511e-05,1.1648e-05,1.1982e-05,1.292277438478286e-05
big fork,0.001270871,0.001271846,0.001269925,0.001268345,0.001274383,0.0012710739999999999,0.001271072399261314,1.9169e-05,1.9033e-05,1.8741e-05,1.975e-05,2.0038e-05,1.9352078312160685e-05
big fork Child,0.001296323,0.001297457,0.001295488,0.001294897,0.00130018,0.001296869,0.0012968676591417895,1.9452e-05,1.9229e-05,1.8954e-05,1.9951e-05,2.021e-05,1.956463831508265e-05
huge fork,0.002520532,0.002532714,0.002521701,0.002513584,0.002522115,0.0025221292,0.0025221217599873383,3.0215e-05,3.5995e-05,2.9354e-05,2.9383e-05,2.905e-05,3.09111848850865e-05
huge fork Child,0.002546479,0.002558594,0.002547629,0.002540429,0.002547788,0.0025481838,0.0025481770615083657,3.0338e-05,3.6074e-05,2.9462e-05,2.9488e-05,2.9147e-05,3.1012342436520336e-05
small write,1.269e-06,1.655e-06,1.661e-06,1.579e-06,1.585e-06,1.5498e-06,1.5424394694180147e-06,8.78e-07,9.31e-07,6.36e-07,7.88e-07,6.08e-07,7.788130712821916e-07
small read,4.31e-07,4.48e-07,4.38e-07,4.51e-07,4.27e-07,4.3899999999999995e-07,4.389011939988374e-07,4.417e-06,7.149e-06,6.781e-06,7.277e-06,3.747e-06,6.059616968092951e-06
small mmap,4.59e-07,4.3e-07,4.32e-07,4.46e-07,4.32e-07,4.398e-07,4.3965973994968033e-07,7.249e-06,2.94e-07,1.158e-06,3.692e-06,5.61e-07,3.685674592255806e-06
small munmap,1.076e-06,1.09e-06,1.074e-06,1.085e-06,1.088e-06,1.0826e-06,1.0825808408754782e-06,6.59e-07,8.64e-07,8.46e-07,5.36e-07,6.2e-07,7.166852865798209e-07
small page fault,7.29e-07,7.3e-07,7.24e-07,7.12e-07,7.2e-07,7.23e-07,7.229700208720263e-07,1.621e-06,2.264e-06,9.65e-07,4.9e-08,1.48e-07,1.3197626301725624e-06
mid write,4.78e-06,5.365e-06,5.418e-06,5.27e-06,5.234e-06,5.213400000000001e-06,5.208302393986044e-06,2.91e-07,3.55e-07,3.74e-07,3.73e-07,3.09e-07,3.4210875463805363e-07
mid read,1.962e-06,1.948e-06,1.978e-06,1.972e-06,2e-06,1.972e-06,1.9719242590652064e-06,5.881e-06,2.249e-06,6.354e-06,6.015e-06,8.279e-06,6.078479151893177e-06
mid mmap,4.56e-07,4.55e-07,4.39e-07,4.57e-07,4.46e-07,4.5059999999999997e-07,4.505451963560817e-07,3.266e-06,3.776e-06,3.5e-08,3.471e-06,1.049e-06,2.7595071661439837e-06
mid munmap,3.751e-06,3.712e-06,3.726e-06,3.731e-06,3.712e-06,3.7264e-06,3.726372101759743e-06,1.94e-07,1.93e-07,1.96e-07,2.19e-07,2.14e-07,2.0349840294213613e-07
mid page fault,1.306e-06,1.32e-06,1.297e-06,1.29e-06,1.296e-06,1.3017999999999998e-06,1.301758311384254e-06,1.559e-06,2.057e-06,2.01e-06,1.434e-06,1.44e-07,1.5986820822164737e-06
big write,0.000480232,0.000480744,0.000480799,0.000482134,0.000485653,0.0004819124,0.0004819083726331412,2.8298e-05,2.7645e-05,2.7686e-05,2.9538e-05,3.2552e-05,2.9201587535611827e-05
big read,0.000333506,0.000333892,0.000333855,0.000333462,0.000333265,0.0003335960000000001,0.00033359591297669604,2.819e-06,2.919e-06,2.79e-06,2.868e-06,2.953e-06,2.8704374231116766e-06
big mmap,4.87e-07,4.5e-07,4.51e-07,4.31e-07,4.35e-07,4.508e-07,4.503777311904416e-07,6.386e-06,6.268e-06,1.456e-06,8.36e-07,8.27e-07,4.088314591613517e-06
big munmap,0.000102406,0.000102484,0.000102596,0.000102392,0.00010223,0.00010242160000000002,0.0001024215295567025,3.475e-06,2.623e-06,3.362e-06,2.347e-06,2.59e-06,2.9146288614504593e-06
big page fault,1.897e-06,1.907e-06,1.868e-06,1.876e-06,1.884e-06,1.8864e-06,1.8863476078959136e-06,5.057e-06,2.695e-06,2.214e-06,1.619e-06,1.605e-06,2.93036707598212e-06
huge write,0.011544085,0.011453895,0.011424774,0.011570476,0.011503782,0.0114994024,0.011499274469648326,0.002495974,0.001951039,0.000851518,0.003033365,0.001288065,0.002079516143720505
huge read,0.012214906,0.012230897,0.012459975,0.013114875,0.01264355,0.012532840600000001,0.012528519664906805,8.7595e-05,6.2856e-05,5.9529e-05,8.9087e-05,7.1682e-05,7.51561910889582e-05
huge mmap,4.5e-07,4.46e-07,4.65e-07,4.89e-07,4.33e-07,4.566e-07,4.562043438291357e-07,3.408e-06,3.969e-06,9.309e-06,1.4516e-05,3.8e-08,8.059039719470304e-06
huge munmap,0.001311231,0.001358564,0.00130517,0.001315729,0.001307684,0.0013196756,0.001319529579339741,3.2569e-05,4.531e-05,3.257e-05,2.7936e-05,2.8279e-05,3.392539667564699e-05
