workload,thp,arch,stage,folder,path
graphbig_bfs,never,radix,running,kernel_inst,
graphbig_bfs,never,radix,loading,kernel_inst_high_level,
graphbig_bfs,never,ecpt,running,kernel_inst,
graphbig_bfs,never,ecpt,loading,kernel_inst_high_level,
graphbig_bfs,always,radix,running,kernel_inst,
graphbig_bfs,always,radix,loading,kernel_inst_loading/full_kernel_withIter_withPlace,
graphbig_bfs,always,ecpt,running,kernel_inst,
graphbig_bfs,always,ecpt,loading,kernel_inst_loading/full_kernel_withIter_withPlace,
graphbig_dfs,never,radix,running,kernel_inst,
graphbig_dfs,never,radix,loading,kernel_inst_high_level,
graphbig_dfs,never,ecpt,running,kernel_inst,
graphbig_dfs,never,ecpt,loading,kernel_inst_high_level,
graphbig_dfs,always,radix,running,kernel_inst,
graphbig_dfs,always,radix,loading,kernel_inst_loading/full_kernel_withIter_withPlace,
graphbig_dfs,always,ecpt,running,kernel_inst,
graphbig_dfs,always,ecpt,loading,kernel_inst_loading/full_kernel_withIter_withPlace,
graphbig_dc,never,radix,running,kernel_inst,
graphbig_dc,never,radix,loading,kernel_inst_high_level,
graphbig_dc,never,ecpt,running,kernel_inst,
graphbig_dc,never,ecpt,loading,kernel_inst_high_level,
graphbig_dc,always,radix,running,kernel_inst,
graphbig_dc,always,radix,loading,kernel_inst_loading/full_kernel_withIter_withPlace,
graphbig_dc,always,ecpt,running,kernel_inst,
graphbig_dc,always,ecpt,loading,kernel_inst_loading/full_kernel_withIter_withPlace,
graphbig_sssp,never,radix,running,kernel_inst,
graphbig_sssp,never,radix,loading,kernel_inst_high_level,
graphbig_sssp,never,ecpt,running,kernel_inst,
graphbig_sssp,never,ecpt,loading,kernel_inst_high_level,
graphbig_sssp,always,radix,running,kernel_inst,
graphbig_sssp,always,radix,loading,kernel_inst_loading/full_kernel_withIter_withPlace,
graphbig_sssp,always,ecpt,running,kernel_inst,
graphbig_sssp,always,ecpt,loading,kernel_inst_loading/full_kernel_withIter_withPlace,
graphbig_cc,never,radix,running,kernel_inst,
graphbig_cc,never,radix,loading,kernel_inst_high_level,
graphbig_cc,never,ecpt,running,kernel_inst,
graphbig_cc,never,ecpt,loading,kernel_inst_high_level,
graphbig_cc,always,radix,running,kernel_inst,
graphbig_cc,always,radix,loading,kernel_inst_loading/full_kernel_withIter_withPlace,
graphbig_cc,always,ecpt,running,kernel_inst,
graphbig_cc,always,ecpt,loading,kernel_inst_loading/full_kernel_withIter_withPlace,
graphbig_tc,never,radix,running,kernel_inst,
graphbig_tc,never,radix,loading,kernel_inst_high_level,
graphbig_tc,never,ecpt,running,kernel_inst,
graphbig_tc,never,ecpt,loading,kernel_inst_high_level,
graphbig_tc,always,radix,running,kernel_inst,
graphbig_tc,always,radix,loading,kernel_inst_loading/full_kernel_withIter_withPlace,
graphbig_tc,always,ecpt,running,kernel_inst,
graphbig_tc,always,ecpt,loading,kernel_inst_loading/full_kernel_withIter_withPlace,
graphbig_pagerank,never,radix,running,kernel_inst,
graphbig_pagerank,never,radix,loading,kernel_inst_high_level,
graphbig_pagerank,never,ecpt,running,kernel_inst,
graphbig_pagerank,never,ecpt,loading,kernel_inst_high_level,
graphbig_pagerank,always,radix,running,kernel_inst,
graphbig_pagerank,always,radix,loading,kernel_inst_loading/full_kernel_withIter_withPlace,
graphbig_pagerank,always,ecpt,running,kernel_inst,
graphbig_pagerank,always,ecpt,loading,kernel_inst_loading/full_kernel_withIter_withPlace,
sysbench,never,radix,running,kernel_inst,
sysbench,never,radix,loading,kernel_inst_high_level,
sysbench,never,ecpt,running,kernel_inst,
sysbench,never,ecpt,loading,kernel_inst_high_level,
sysbench,always,radix,running,kernel_inst,
sysbench,always,radix,loading,kernel_inst_loading/full_kernel_withIter_withPlace,
sysbench,always,ecpt,running,kernel_inst,
sysbench,always,ecpt,loading,kernel_inst_loading/full_kernel_withIter_withPlace,
gups,never,radix,running,kernel_inst,
gups,never,radix,loading,kernel_inst_high_level,
gups,never,ecpt,running,kernel_inst,
gups,never,ecpt,loading,kernel_inst_high_level,
gups,always,radix,running,kernel_inst,
gups,always,radix,loading,kernel_inst_loading/full_kernel_withIter_withPlace,
gups,always,ecpt,running,kernel_inst,
gups,always,ecpt,loading,kernel_inst_loading/full_kernel_withIter_withPlace,
redis,never,radix,running,kernel_inst,radix_never_jiyuan_redis_run_128G.bin.kern_inst.folded.high_level.csv
redis,never,radix,loading,kernel_inst_high_level,radix_never_run_jiyuan_redis_run_128G_kexec_loading_first_2B.bin.kern_inst.folded.high_level.csv
redis,never,ecpt,running,kernel_inst,ecpt_never_jiyuan_redis_run_128G.bin.kern_inst.folded.high_level.csv
redis,never,ecpt,loading,kernel_inst_high_level,ecpt_never_run_jiyuan_redis_run_128G_rerun_loading.bin.kern_inst.folded.high_level.csv
redis,always,radix,running,kernel_inst,radix_always_run_jiyuan_redis_run_128G.bin.kern_inst.folded.reprocessed.high_level.csv
redis,always,radix,loading,kernel_inst_loading/full_kernel_withIter_withPlace,radix_always_run_jiyuan_redis_run_128G_kexec_loading_first_2B.bin.kern_inst.folded.reprocessed.high_level.csv
redis,always,ecpt,running,kernel_inst,ecpt_always_run_jiyuan_redis_run_128G.bin.kern_inst.folded.reprocessed.high_level.csv
redis,always,ecpt,loading,kernel_inst_loading/full_kernel_withIter_withPlace,ecpt_always_run_jiyuan_redis_run_128G_rerun_loading.bin.kern_inst.folded.reprocessed.high_level.csv
memcached,never,radix,running,kernel_inst,radix_never_run_Memcached64Gpure_20insertion_never.bin.kern_inst.folded.high_level.csv
memcached,never,radix,loading,kernel_inst_high_level,radix_never_run_Memcached64Gpure_20insertion_never_kexec_loading_first_2B.bin.kern_inst.folded.high_level.csv
memcached,never,ecpt,running,kernel_inst,ecpt_never_run_Memcached64Gpure_20insertion_never.bin.kern_inst.folded.high_level.csv
memcached,never,ecpt,loading,kernel_inst_high_level,ecpt_never_run_Memcached64Gpure_20insertion_never_kexec_loading_first_2B.bin.kern_inst.folded.high_level.csv
memcached,always,radix,running,kernel_inst,ecpt_always_run_Memcached64Gpure_20insertion_enablelarge_running.bin.kern_inst.folded.reprocessed.high_level.csv
memcached,always,radix,loading,kernel_inst_loading/full_kernel_withIter_withPlace,radix_always_run_Memcached64Gpure_20insertion_enablelarge_loading.bin.kern_inst.folded.reprocessed.high_level.csv
memcached,always,ecpt,running,kernel_inst,ecpt_always_run_Memcached64Gpure_20insertion_enablelarge_running.bin.kern_inst.folded.reprocessed.high_level.csv
memcached,always,ecpt,loading,kernel_inst_loading/full_kernel_withIter_withPlace,ecpt_always_run_Memcached64Gpure_20insertion_enablelarge_loading.bin.kern_inst.folded.reprocessed.high_level.csv
postgres,never,radix,running,kernel_inst,radix_never_run_postgres64G_sequential_load.bin.kern_inst.folded.high_level.csv
postgres,never,radix,loading,kernel_inst_high_level,radix_never_run_postgres64G_sequential_load_loading.bin.kern_inst.folded.high_level.csv
postgres,never,ecpt,running,kernel_inst,ecpt_never_run_postgres64G_sequential_load.bin.kern_inst.folded.high_level.csv
postgres,never,ecpt,loading,kernel_inst_high_level,ecpt_never_run_postgres64G_sequential_load_loading.bin.kern_inst.folded.high_level.csv
postgres,always,radix,running,kernel_inst,radix_always_run_postgres64G_sequential_load_running.bin.kern_inst.folded.reprocessed.high_level.csv
postgres,always,radix,loading,kernel_inst_loading/full_kernel_withIter_withPlace,radix_always_run_postgres64G_sequential_load_loading.bin.kern_inst.folded.reprocessed.high_level.csv
postgres,always,ecpt,running,kernel_inst,ecpt_always_run_postgres64G_sequential_load_running.bin.kern_inst.folded.reprocessed.high_level.csv
postgres,always,ecpt,loading,kernel_inst_loading/full_kernel_withIter_withPlace,ecpt_always_run_postgres64G_sequential_load_loading.bin.kern_inst.folded.reprocessed.high_level.csv
