workloads,user_inst,kernel_inst,total_inst
graphbig_bfs,742106621,10841811,752948432
graphbig_cc,616151868,10120916,626272784
graphbig_dc,474210337,2617608,476827945
graphbig_dfs,738781909,9498066,748279975
graphbig_pagerank,1686616760,9164743,1695781503
graphbig_sssp,1535313672,48663659,1583977331
graphbig_tc,2000000000,10884350,2010884350
sysbench,2000000000,4856787,2004856787
gups,2000000000,10075513,2010075513
redis,2000000000,53385055,2053385055
memcached,2000000000,24266500,2024266500
postgres,2000000000,58489187,2058489187
