workload,thp,arch,stage,folder,path
graphbig_bfs,never,radix,running,kernel_inst,
graphbig_bfs,never,radix,loading,kernel_inst_loading_end,
graphbig_bfs,never,ecpt,running,kernel_inst,
graphbig_bfs,never,ecpt,loading,kernel_inst_loading_end,
graphbig_bfs,always,radix,running,kernel_inst,
graphbig_bfs,always,radix,loading,kernel_inst_loading_end,
graphbig_bfs,always,ecpt,running,kernel_inst,
graphbig_bfs,always,ecpt,loading,kernel_inst_loading_end,
graphbig_dfs,never,radix,running,kernel_inst,
graphbig_dfs,never,radix,loading,kernel_inst_loading_end,
graphbig_dfs,never,ecpt,running,kernel_inst,
graphbig_dfs,never,ecpt,loading,kernel_inst_loading_end,
graphbig_dfs,always,radix,running,kernel_inst,
graphbig_dfs,always,radix,loading,kernel_inst_loading_end,
graphbig_dfs,always,ecpt,running,kernel_inst,
graphbig_dfs,always,ecpt,loading,kernel_inst_loading_end,
graphbig_dc,never,radix,running,kernel_inst,
graphbig_dc,never,radix,loading,kernel_inst_loading_end,
graphbig_dc,never,ecpt,running,kernel_inst,
graphbig_dc,never,ecpt,loading,kernel_inst_loading_end,
graphbig_dc,always,radix,running,kernel_inst,
graphbig_dc,always,radix,loading,kernel_inst_loading_end,
graphbig_dc,always,ecpt,running,kernel_inst,
graphbig_dc,always,ecpt,loading,kernel_inst_loading_end,
graphbig_sssp,never,radix,running,kernel_inst,
graphbig_sssp,never,radix,loading,kernel_inst_loading_end,
graphbig_sssp,never,ecpt,running,kernel_inst,
graphbig_sssp,never,ecpt,loading,kernel_inst_loading_end,
graphbig_sssp,always,radix,running,kernel_inst,
graphbig_sssp,always,radix,loading,kernel_inst_loading_end,
graphbig_sssp,always,ecpt,running,kernel_inst,
graphbig_sssp,always,ecpt,loading,kernel_inst_loading_end,
graphbig_cc,never,radix,running,kernel_inst,
graphbig_cc,never,radix,loading,kernel_inst_loading_end,
graphbig_cc,never,ecpt,running,kernel_inst,
graphbig_cc,never,ecpt,loading,kernel_inst_loading_end,
graphbig_cc,always,radix,running,kernel_inst,
graphbig_cc,always,radix,loading,kernel_inst_loading_end,
