,_2023-11-25-05-54-35_iter1,_2023-11-25-05-54-35_iter2,_2023-11-25-05-54-35_iter3,_2023-11-25-05-54-35_iter4,_2023-11-25-05-54-35_iter5,_2023-11-25-05-54-35_iter6,_2023-11-25-05-54-35_iter7,mean,geo_mean,_2023-11-25-05-54-35_iter1_std,_2023-11-25-05-54-35_iter2_std,_2023-11-25-05-54-35_iter3_std,_2023-11-25-05-54-35_iter4_std,_2023-11-25-05-54-35_iter5_std,_2023-11-25-05-54-35_iter6_std,_2023-11-25-05-54-35_iter7_std,overall_std,_2023-11-27-00-42-30_iter1,_2023-11-27-00-42-30_iter2,_2023-11-27-00-42-30_iter3,_2023-11-27-00-42-30_iter4,_2023-11-27-00-42-30_iter5,_2023-11-27-00-42-30_iter6,_2023-11-27-00-42-30_iter7,_2023-11-27-00-42-30_iter1_std,_2023-11-27-00-42-30_iter2_std,_2023-11-27-00-42-30_iter3_std,_2023-11-27-00-42-30_iter4_std,_2023-11-27-00-42-30_iter5_std,_2023-11-27-00-42-30_iter6_std,_2023-11-27-00-42-30_iter7_std
small write,5.46e-07,5.46e-07,5.48e-07,5.45e-07,5.47e-07,5.47e-07,5.46e-07,5.464285714285714e-07,5.464278246370696e-07,5.2e-07,5.14e-07,5.58e-07,5.22e-07,5.24e-07,5.27e-07,5.13e-07,5.256177318165741e-07,,,,,,,,,,,,,,
small read,3.6e-07,3.59e-07,3.57e-07,3.61e-07,3.59e-07,3.59e-07,3.59e-07,3.5914285714285715e-07,3.5914109451773446e-07,5.688e-06,5.277e-06,4.98e-06,5.911e-06,5.299e-06,5.339e-06,5.46e-06,5.429237199775727e-06,,,,,,,,,,,,,,
small page fault,,,,,,,,7.489999999999999e-07,7.489920074497896e-07,,,,,,,,4.734956101772675e-06,7.56e-07,7.5e-07,7.45e-07,7.49e-07,7.48e-07,7.5e-07,7.45e-07,5.06e-06,4.437e-06,4.907e-06,4.809e-06,4.689e-06,4.793e-06,4.414e-06
mid write,3.165e-06,3.173e-06,3.18e-06,3.177e-06,3.172e-06,3.17e-06,3.167e-06,3.172e-06,3.171996217658131e-06,2.19e-07,2.27e-07,2.13e-07,2.19e-07,2.16e-07,2.2e-07,2.19e-07,2.1903587442634665e-07,,,,,,,,,,,,,,
mid read,1.901e-06,1.907e-06,1.903e-06,1.893e-06,1.919e-06,1.912e-06,1.906e-06,1.905857142857143e-06,1.9058418224309855e-06,8.02e-06,8.043e-06,7.904e-06,7.817e-06,7.996e-06,7.85e-06,8.302e-06,7.991698138872435e-06,,,,,,,,,,,,,,
mid page fault,,,,,,,,1.3052857142857145e-06,1.305264216161108e-06,,,,,,,,4.033635740335794e-06,1.323e-06,1.303e-06,1.302e-06,1.304e-06,1.305e-06,1.302e-06,1.298e-06,4.487e-06,3.993e-06,4.081e-06,4.535e-06,4.197e-06,3.708e-06,3.038e-06
big page fault,,,,,,,,1.8557142857142859e-06,1.855708238760552e-06,,,,,,,,3.822833522775631e-06,1.852e-06,1.856e-06,1.858e-06,1.854e-06,1.866e-06,1.853e-06,1.851e-06,3.762e-06,4.514e-06,4.158e-06,4.72e-06,2.832e-06,4.051e-06,1.942e-06
huge page fault,,,,,,,,1.823e-06,1.8216980246651433e-06,,,,,,,,3.867642489756703e-06,1.842e-06,1.835e-06,1.857e-06,1.66e-06,1.853e-06,1.866e-06,1.848e-06,3.867e-06,3.51e-06,4.589e-06,4.349e-06,4.391e-06,3.921e-06,1.676e-06
small anony page fault,,,,,,,,9.37e-07,9.369963418624856e-07,,,,,,,,3.90292930282591e-08,9.33e-07,9.36e-07,9.38e-07,9.36e-07,9.35e-07,9.4e-07,9.41e-07,3.7e-08,4e-08,4.2e-08,3.9e-08,3.8e-08,3.9e-08,3.8e-08
huge anony page fault,,,,,,,,1.0265714285714287e-06,1.0228863127764807e-06,,,,,,,,4.567118503889671e-08,1.166e-06,9.66e-07,9.78e-07,9.71e-07,1.169e-06,9.72e-07,9.64e-07,5.1e-08,3.7e-08,4.9e-08,4.6e-08,5.3e-08,4.4e-08,3.7e-08
