,2023-11-20-08-51-14_mean,2023-11-20-09-14-16_mean,2023-11-20-09-37-19_mean,2023-11-20-10-00-19_mean,2023-11-20-10-23-24_mean,mean,geo_mean,2023-11-20-08-51-14_std,2023-11-20-09-14-16_std,2023-11-20-09-37-19_std,2023-11-20-10-00-19_std,2023-11-20-10-23-24_std,overall_std
ref,1.8e-08,1.8e-08,1.8e-08,1.8e-08,1.8e-08,1.8e-08,1.8000000000000026e-08,1.1e-08,8e-09,6e-09,8e-09,1.8e-08,1.1036303729057116e-08
cpu,0.003009155,0.003009492,0.003009317,0.003009686,0.003009088,0.0030093476,0.0030093475919987524,1.855e-06,4.832e-06,4.732e-06,5.48e-06,2.288e-06,4.109657333647174e-06
getpid,1.03e-07,1.03e-07,1.03e-07,1.04e-07,1.03e-07,1.032e-07,1.0319922779490757e-07,9e-09,2.5e-08,1.5e-08,1e-08,1.6e-08,1.6043690348545126e-08
context switch,3.453e-06,3.452e-06,3.458e-06,3.448e-06,3.452e-06,3.4526e-06,3.4525985173925627e-06,1.8e-08,1.6e-08,1.8e-08,1.7e-08,1.7e-08,1.7216271373325874e-08
send,4.4e-07,4.36e-07,4.39e-07,4.38e-07,4.39e-07,4.384e-07,4.383978981943609e-07,1.092e-06,7.35e-07,1.118e-06,9.05e-07,9.29e-07,9.658860181201506e-07
recv,3.85e-07,3.83e-07,3.89e-07,3.87e-07,3.82e-07,3.8520000000000003e-07,3.85191492497674e-07,5.63e-07,5.84e-07,1.13e-06,1.139e-06,5.64e-07,8.426555642728529e-07
big send,6.38e-06,6.483e-06,6.521e-06,6.329e-06,6.295e-06,6.401599999999999e-06,6.4010076484964486e-06,2.117e-06,1.695e-06,1.888e-06,1.315e-06,1.979e-06,1.8201606522502347e-06
big recv,4.551e-06,4.515e-06,4.513e-06,4.521e-06,4.483e-06,4.5166e-06,4.516548039732497e-06,1.456e-06,1.124e-06,1.672e-06,1.536e-06,8.45e-07,1.3603100381898238e-06
fork,3.6732e-05,3.6874e-05,3.6853e-05,3.6394e-05,3.6317e-05,3.6634e-05,3.663325307150007e-05,7.275e-06,7.692e-06,6.643e-06,6.94e-06,6.362e-06,6.998008030861354e-06
fork Child,5.4852e-05,5.3114e-05,5.4934e-05,5.2593e-05,5.5426e-05,5.41838e-05,5.417224529774689e-05,9.077e-06,8.842e-06,7.959e-06,8.336e-06,8.033e-06,8.460928542423698e-06
thr create,3.825e-06,3.766e-06,3.825e-06,3.738e-06,3.756e-06,3.782e-06,3.7818266249841138e-06,8.894e-06,7.028e-06,7.397e-06,7e-06,8.681e-06,7.843103849879843e-06
thr create Child,7.237e-06,7.184e-06,7.304e-06,7.131e-06,7.211e-06,7.213399999999999e-06,7.213172504635916e-06,1.1816e-05,1.007e-05,1.2968e-05,1.1403e-05,1.199e-05,1.1687431616912246e-05
big fork,0.00127029,0.001271065,0.001268615,0.001270181,0.001271339,0.001270298,0.001270297644186787,1.8291e-05,1.8448e-05,1.8929e-05,1.8581e-05,1.9499e-05,1.875452472338342e-05
big fork Child,0.001297142,0.00129806,0.001295648,0.001296935,0.001299395,0.0012974360000000001,0.0012974354018610063,1.8509e-05,1.8682e-05,1.915e-05,1.8808e-05,1.9675e-05,1.89692867235434e-05
huge fork,0.002510074,0.002516145,0.002510858,0.00251092,0.00251335,0.0025122694000000003,0.0025122684124816094,3.4077e-05,3.4556e-05,3.5886e-05,3.3843e-05,3.4538e-05,3.4587240867117456e-05
huge fork Child,0.002537118,0.002543245,0.002538063,0.002537982,0.002541588,0.0025395992,0.0025395980828913974,3.4156e-05,3.4643e-05,3.5968e-05,3.3929e-05,3.4606e-05,3.46676191452485e-05
small write,6.03e-07,6e-07,5.89e-07,6.08e-07,6.17e-07,6.034e-07,6.033294434757974e-07,2.69e-07,5.11e-07,3.31e-07,3.31e-07,1.0531e-05,4.721325343587328e-06
small read,3.85e-07,3.6e-07,3.48e-07,3.58e-07,3.6e-07,3.622e-07,3.619975242350376e-07,7.642e-06,5.45e-06,3.008e-06,4.895e-06,6.378e-06,5.688420466175122e-06
small mmap,4.45e-07,4.41e-07,4.39e-07,4.5e-07,4.22e-07,4.394e-07,4.392963725022527e-07,5.289e-06,3.695e-06,2.39e-06,6.071e-06,3.2e-08,4.103576756928034e-06
small munmap,1.083e-06,1.086e-06,1.08e-06,1.073e-06,1.096e-06,1.0835999999999999e-06,1.0835737179685275e-06,6.76e-07,4.51e-07,4.53e-07,5.51e-07,7.76e-07,5.952080308597995e-07
small page fault,8.75e-07,8.66e-07,8.79e-07,8.81e-07,8.59e-07,8.72e-07,8.719604331967408e-07,2.788e-06,1.461e-06,2.667e-06,4.995e-06,1.652e-06,2.989965986428608e-06
mid write,3.189e-06,3.188e-06,3.192e-06,3.199e-06,3.168e-06,3.1872e-06,3.1871831852837887e-06,2.22e-07,2.6e-07,2.03e-07,2.86e-07,2.76e-07,2.5142195608180285e-07
mid read,1.917e-06,1.911e-06,1.927e-06,1.887e-06,1.909e-06,1.9102e-06,1.910154379922551e-06,6.718e-06,3.501e-06,8.356e-06,2.733e-06,6.813e-06,6.018264184962305e-06
mid mmap,4.47e-07,4.8e-07,4.68e-07,4.42e-07,4.53e-07,4.58e-07,4.57786537618552e-07,3.325e-06,9.326e-06,5.381e-06,2.836e-06,3.994e-06,5.495088607110899e-06
mid munmap,3.796e-06,3.815e-06,3.743e-06,3.753e-06,3.816e-06,3.7846e-06,3.784473780552483e-06,2.07e-07,2.59e-07,1.92e-07,1.79e-07,2.14e-07,2.11958014710461e-07
mid page fault,1.43e-06,1.436e-06,1.449e-06,1.434e-06,1.432e-06,1.4362000000000001e-06,1.4361844045272893e-06,1.213e-06,1.077e-06,1.886e-06,2.109e-06,3.497e-06,2.138465992247714e-06
big write,0.000478963,0.000480146,0.00048035,0.000479537,0.00047998,0.00047979519999999994,0.0004797949447330706,2.7062e-05,2.7398e-05,2.7962e-05,2.9095e-05,2.8209e-05,2.79540422765653e-05
big read,0.000332462,0.000333238,0.000333093,0.000332912,0.000333298,0.0003330006,0.00033300046440964287,2.946e-06,2.974e-06,2.963e-06,2.885e-06,2.981e-06,2.9500015932199087e-06
big mmap,4.43e-07,4.19e-07,4.73e-07,4.51e-07,4.42e-07,4.456e-07,4.4526190518159225e-07,6.46e-07,3.4e-08,7.271e-06,2.036e-06,1.199e-06,3.4312915935548235e-06
big munmap,0.000100754,0.000102241,0.000100871,0.000100874,0.000101253,0.0001011986,0.00010119712415386522,2.71e-06,3.264e-06,2.897e-06,2.711e-06,2.651e-06,2.855441366934366e-06
