,_2023-11-25-08-27-36_iter1,_2023-11-25-08-27-36_iter2,_2023-11-25-08-27-36_iter3,_2023-11-25-08-27-36_iter4,_2023-11-25-08-27-36_iter5,_2023-11-25-08-27-36_iter6,_2023-11-25-08-27-36_iter7,mean,geo_mean,_2023-11-25-08-27-36_iter1_std,_2023-11-25-08-27-36_iter2_std,_2023-11-25-08-27-36_iter3_std,_2023-11-25-08-27-36_iter4_std,_2023-11-25-08-27-36_iter5_std,_2023-11-25-08-27-36_iter6_std,_2023-11-25-08-27-36_iter7_std,overall_std,_2023-11-27-01-00-09_iter1,_2023-11-27-01-00-09_iter2,_2023-11-27-01-00-09_iter3,_2023-11-27-01-00-09_iter4,_2023-11-27-01-00-09_iter5,_2023-11-27-01-00-09_iter6,_2023-11-27-01-00-09_iter7,_2023-11-27-01-00-09_iter1_std,_2023-11-27-01-00-09_iter2_std,_2023-11-27-01-00-09_iter3_std,_2023-11-27-01-00-09_iter4_std,_2023-11-27-01-00-09_iter5_std,_2023-11-27-01-00-09_iter6_std,_2023-11-27-01-00-09_iter7_std
small write,5.46e-07,5.44e-07,5.45e-07,5.48e-07,5.45e-07,5.46e-07,5.46e-07,5.457142857142857e-07,5.45713052600034e-07,5.59e-07,5.23e-07,5.31e-07,5.27e-07,4.91e-07,5.34e-07,4.75e-07,5.206537099784133e-07,,,,,,,,,,,,,,
small read,3.59e-07,3.61e-07,3.59e-07,3.6e-07,3.56e-07,3.59e-07,3.6e-07,3.5914285714285715e-07,3.5913989355368014e-07,5.451e-06,6.013e-06,5.61e-06,5.948e-06,5.299e-06,5.13e-06,5.978e-06,5.642354612343022e-06,,,,,,,,,,,,,,
small page fault,,,,,,,,7.494285714285714e-07,7.494038655321112e-07,,,,,,,,4.842248931466216e-06,7.59e-07,7.57e-07,7.45e-07,7.41e-07,7.47e-07,7.51e-07,7.46e-07,5.207e-06,4.916e-06,4.595e-06,4.416e-06,4.952e-06,5.018e-06,4.747e-06
mid write,3.211e-06,3.177e-06,3.19e-06,3.167e-06,3.183e-06,3.196e-06,3.201e-06,3.1892857142857145e-06,3.1892556658834678e-06,2.25e-07,2.24e-07,2.19e-07,2.21e-07,2.2e-07,2.35e-07,2.29e-07,2.24775761275861e-07,,,,,,,,,,,,,,
mid read,1.893e-06,1.903e-06,1.894e-06,1.899e-06,1.902e-06,1.919e-06,1.905e-06,1.9021428571428569e-06,1.9021258970031395e-06,7.808e-06,8.135e-06,7.91e-06,8.14e-06,7.838e-06,8.312e-06,8.228e-06,8.055116927412395e-06,,,,,,,,,,,,,,
small page fault,,,,,,,,7.494285714285714e-07,7.494038655321112e-07,,,,,,,,4.842248931466216e-06,7.59e-07,7.57e-07,7.45e-07,7.41e-07,7.47e-07,7.51e-07,7.46e-07,5.207e-06,4.916e-06,4.595e-06,4.416e-06,4.952e-06,5.018e-06,4.747e-06
mid page fault,,,,,,,,1.3130000000000002e-06,1.312973161378716e-06,,,,,,,,4.37356102049577e-06,1.307e-06,1.314e-06,1.322e-06,1.307e-06,1.327e-06,1.301e-06,1.313e-06,3.868e-06,4.501e-06,4.685e-06,1.905e-06,5.07e-06,4.806e-06,4.929e-06
big page fault,,,,,,,,1.845142857142857e-06,1.8451279735118722e-06,,,,,,,,4.005471240334008e-06,1.837e-06,1.837e-06,1.851e-06,1.839e-06,1.845e-06,1.858e-06,1.849e-06,4.319e-06,1.698e-06,4.305e-06,4.8e-06,3.083e-06,4.542e-06,4.366e-06
huge page fault,,,,,,,,1.8808571428571427e-06,1.8793617436531632e-06,,,,,,,,3.7868424841812475e-06,1.851e-06,1.869e-06,1.839e-06,2.068e-06,1.843e-06,1.842e-06,1.854e-06,3.793e-06,1.915e-06,4.796e-06,1.909e-06,4.677e-06,4.334e-06,3.876e-06
small anony page fault,,,,,,,,9.358571428571428e-07,9.358427876732788e-07,,,,,,,,3.9724048132082414e-08,9.36e-07,9.37e-07,9.37e-07,9.31e-07,9.47e-07,9.31e-07,9.32e-07,4.1e-08,4e-08,3.8e-08,3.9e-08,4e-08,4e-08,4e-08
huge anony page fault,,,,,,,,9.711428571428572e-07,9.711372125521924e-07,,,,,,,,4.532265280345864e-08,9.77e-07,9.7e-07,9.75e-07,9.67e-07,9.69e-07,9.71e-07,9.69e-07,4.7e-08,4.3e-08,4.6e-08,4.8e-08,4.4e-08,4.6e-08,4.3e-08
