,2023-11-20-05-31-08_mean,2023-11-20-05-55-44_mean,2023-11-20-06-20-11_mean,2023-11-20-06-44-29_mean,2023-11-20-07-08-44_mean,mean,geo_mean,2023-11-20-05-31-08_std,2023-11-20-05-55-44_std,2023-11-20-06-20-11_std,2023-11-20-06-44-29_std,2023-11-20-07-08-44_std,overall_std
ref,1.8e-08,1.8e-08,1.8e-08,1.8e-08,1.8e-08,1.8e-08,1.8000000000000026e-08,9e-09,3e-09,1.8e-08,5e-09,2.5e-08,1.4587666023048374e-08
cpu,0.003009116,0.003009254,0.003009352,0.003008918,0.003008863,0.0030091006000000004,0.0030091005941255797,1.99e-06,5.691e-06,4.641e-06,1.211e-06,2.043e-06,3.564458780796883e-06
getpid,1.03e-07,1.03e-07,1.03e-07,1.03e-07,1.03e-07,1.0299999999999998e-07,1.0300000000000008e-07,1.3e-08,2.1e-08,1.7e-08,4.9e-08,8e-09,2.593838853899756e-08
context switch,3.461e-06,3.474e-06,3.449e-06,3.455e-06,3.456e-06,3.459e-06,3.458989778540811e-06,1.7e-08,3.2e-08,1.6e-08,1.7e-08,1.7e-08,2.0721969018411355e-08
send,4.4e-07,4.39e-07,4.37e-07,4.42e-07,4.4e-07,4.396e-07,4.395969959092159e-07,1.226e-06,9.51e-07,7.95e-07,1.462e-06,1.047e-06,1.1201031202527739e-06
recv,3.93e-07,3.83e-07,3.8e-07,3.89e-07,3.87e-07,3.8639999999999997e-07,3.863732913111231e-07,1.349e-06,6.44e-07,4.7e-08,9.6e-07,1.172e-06,9.520430662527825e-07
big send,6.269e-06,6.551e-06,6.374e-06,6.208e-06,6.149e-06,6.310199999999999e-06,6.308626645620801e-06,1.72e-06,1.687e-06,1.422e-06,1.659e-06,1.63e-06,1.6269993239088945e-06
big recv,4.539e-06,4.508e-06,4.502e-06,4.494e-06,4.506e-06,4.5098000000000004e-06,4.509773883592217e-06,1.648e-06,6e-07,1.269e-06,1.2e-06,1.291e-06,1.2484346999342817e-06
fork,3.638e-05,3.658e-05,3.6979e-05,3.6526e-05,3.6593e-05,3.66116e-05,3.661106291645816e-05,7.414e-06,7.299e-06,8.242e-06,6.408e-06,6.317e-06,7.171336193485842e-06
fork Child,5.4489e-05,5.2894e-05,5.3371e-05,5.393e-05,5.4734e-05,5.38836e-05,5.3879262116165365e-05,9.351e-06,8.701e-06,9.793e-06,8.071e-06,8.107e-06,8.830809034284458e-06
thr create,3.791e-06,3.864e-06,3.807e-06,3.783e-06,3.742e-06,3.7974e-06,3.7971939538448334e-06,7.681e-06,9.476e-06,9.093e-06,7.627e-06,7.315e-06,8.284387002065994e-06
thr create Child,7.237e-06,7.302e-06,7.216e-06,7.15e-06,7.139e-06,7.2088e-06,7.208552568545409e-06,1.1016e-05,1.1308e-05,1.1689e-05,1.027e-05,1.1139e-05,1.1094197239998935e-05
big fork,0.001270432,0.001269042,0.001270646,0.001271434,0.001270328,0.0012703764,0.00127037616559104,1.8711e-05,1.9109e-05,1.8353e-05,1.9403e-05,1.7045e-05,1.8542364708957702e-05
big fork Child,0.001297291,0.001294174,0.001297608,0.001299255,0.001297174,0.0012971004,0.0012970993581983947,1.8928e-05,1.9351e-05,1.8538e-05,1.9654e-05,1.7278e-05,1.8768041075189495e-05
huge fork,0.002510513,0.002515448,0.002514508,0.002511567,0.002518558,0.0025141188000000004,0.0025141171639890348,2.2461e-05,3.4448e-05,3.2629e-05,3.0095e-05,2.0368e-05,2.8553028963666883e-05
huge fork Child,0.002537492,0.002540653,0.002541651,0.00253969,0.002545592,0.0025410155999999995,0.002541014197468454,2.2558e-05,3.4525e-05,3.2699e-05,3.0205e-05,2.0443e-05,2.8636766102337742e-05
small write,6.44e-07,5.89e-07,5.89e-07,5.88e-07,5.88e-07,5.995999999999999e-07,5.992033349395376e-07,9.826e-06,5.06e-07,5.09e-07,4.48e-07,5.08e-07,4.4164275381806056e-06
small read,3.71e-07,3.56e-07,3.41e-07,3.58e-07,3.57e-07,3.566e-07,3.56472396535868e-07,9.243e-06,5.292e-06,1.502e-06,4.916e-06,4.83e-06,5.712972483742592e-06
small mmap,4.42e-07,4.36e-07,4.84e-07,4.22e-07,4.35e-07,4.438e-07,4.433137131224621e-07,3.278e-06,3.222e-06,8.518e-06,3.2e-08,1.435e-06,4.375914555838585e-06
small munmap,1.089e-06,1.082e-06,1.08e-06,1.084e-06,1.079e-06,1.0828e-06,1.0827942094208164e-06,7.15e-07,5.17e-07,5.17e-07,6e-07,7.61e-07,6.300672979928414e-07
small page fault,8.5e-07,8.63e-07,8.78e-07,8.77e-07,8.68e-07,8.671999999999999e-07,8.6713898384016e-07,2.8e-08,1.884e-06,3.226e-06,4.903e-06,1.924e-06,2.8878539090473397e-06
mid write,3.213e-06,3.187e-06,3.171e-06,3.169e-06,3.196e-06,3.1872e-06,3.1871581062506616e-06,2.49e-07,5.41e-07,2.33e-07,3.04e-07,2.09e-07,3.3017207634807645e-07
mid read,1.923e-06,1.894e-06,1.925e-06,1.896e-06,1.909e-06,1.9094e-06,1.9093557386267396e-06,7.426e-06,5.692e-06,6.72e-06,5.783e-06,6.977e-06,6.55475946164312e-06
mid mmap,4.41e-07,4.7e-07,4.43e-07,4.6e-07,4.61e-07,4.5500000000000004e-07,4.5486213568138417e-07,1.074e-06,7.41e-06,1.972e-06,6.641e-06,5.482e-06,5.178910406639605e-06
mid munmap,3.79e-06,3.778e-06,3.764e-06,3.794e-06,3.768e-06,3.7787999999999997e-06,3.7787816679970097e-06,1.82e-07,1.94e-07,2.7e-07,7.27e-07,1.8e-07,3.753901969950734e-07
mid page fault,1.424e-06,1.44e-06,1.468e-06,1.449e-06,1.43e-06,1.4422e-06,1.4421173172592564e-06,6.56e-07,2.027e-06,5.484e-06,1.791e-06,7.13e-07,2.7687315146109784e-06
big write,0.000482413,0.000480432,0.000480655,0.000480027,0.000487534,0.0004822122,0.00048220420528481396,2.8006e-05,2.9277e-05,2.8931e-05,2.8172e-05,3.2807e-05,2.949048103710755e-05
big read,0.000333561,0.000333474,0.000333583,0.000333274,0.000333962,0.0003335708,0.0003335707248503387,2.992e-06,2.977e-06,3.039e-06,2.995e-06,3.11e-06,3.0229865696029816e-06
big mmap,4.76e-07,4.22e-07,4.45e-07,4.5e-07,4.48e-07,4.4819999999999995e-07,4.4787207874371263e-07,6.429e-06,3.87e-07,2.061e-06,5.75e-07,8.87e-07,3.0609451154831248e-06
big munmap,0.000101112,0.000100864,0.000101289,0.000101125,0.000100704,0.0001010188,0.0001010185860573692,3.289e-06,2.742e-06,3.742e-06,3.582e-06,2.962e-06,3.284594860861839e-06
big page fault,1.993e-06,1.982e-06,2.002e-06,1.997e-06,1.987e-06,1.9922e-06,1.9921874082959417e-06,2.244e-06,3.426e-06,1.628e-06,2.328e-06,2.438e-06,2.4814037962411523e-06
huge write,0.01036894,0.010225194,0.010406413,0.010444494,0.010199857,0.0103289796,0.010328510437084307,0.00037952,0.000941675,0.001599979,0.001898577,0.001555319,0.0013866745727210837
huge read,0.016857006,0.017203871,0.017119556,0.016986059,0.016698293,0.016972957000000004,0.01697198988434455,4.1895e-05,3.9814e-05,4.4114e-05,4.0646e-05,6.8163e-05,4.8134566585770776e-05
huge mmap,4.49e-07,4.24e-07,4.31e-07,4.3e-07,4.37e-07,4.342e-07,4.3411807849988506e-07,3.644e-06,1.192e-06,1.431e-06,9.42e-07,9.04e-07,1.9210383129963856e-06
huge munmap,0.001384748,0.001409891,0.001426444,0.001369985,0.001308444,0.0013799023999999998,0.0013792925571507434,8.36e-06,1.3535e-05,1.0478e-05,1.0505e-05,9.249e-06,1.057140799515372e-05
huge page fault,1.988e-06,2.003e-06,2.002e-06,2.007e-06,2.01e-06,2.0019999999999996e-06,2.0019856790369665e-06,2.101e-06,3.671e-06,1.676e-06,2.644e-06,4.198e-06,3.010427145771842e-06
select,6.09e-07,6.44e-07,6.22e-07,6.21e-07,6.18e-07,6.228e-07,6.226940615317729e-07,5.095e-06,7.684e-06,6.477e-06,6.404e-06,6.039e-06,6.394296630591984e-06
poll,4.74e-07,4.8e-07,5.14e-07,5.36e-07,4.98e-07,5.004e-07,4.998910555742796e-07,3.554e-06,4.23e-06,6.366e-06,7.84e-06,5.13e-06,5.636173737563454e-06
epoll,7.54e-07,7.51e-07,7.73e-07,7.95e-07,7.4e-07,7.626e-07,7.623561796528204e-07,7.384e-06,6.823e-06,7.691e-06,9.116e-06,5.82e-06,7.4458326868121345e-06
select big,0.000108106,0.000111964,0.000106813,0.000110638,0.00010867,0.00010923819999999999,0.00010922278851590466,0.000157088,0.00019236,0.000158117,0.000184061,0.000169559,0.00017280549831240902
poll big,0.000111877,0.000112885,0.000110867,0.000110493,0.000112965,0.0001118174,0.00011181282067943758,0.000167977,0.000164336,0.000162844,0.000162658,0.000177135,0.00016707794285901416
epoll big,0.000173551,0.000178925,0.000178889,0.000176254,0.00018096,0.0001777158,0.0001776972351068644,0.000174099,0.000207736,0.000213449,0.000188011,0.000226108,0.00020273043524986572
