name,times,pgwalk_latency_iter_0,pgwalk_latency_iter_1,pgwalk_latency_iter_2,pgwalk_latency_iter_3,pgwalk_latency_iter_4,pgwalk_latency_iter_5,pgwalk_latency_iter_6,avg_latency,pf_iter_0,pf_iter_1,pf_iter_2,pf_iter_3,pf_iter_4,pf_iter_5,pf_iter_6,avg_pf
LEBench ref,7,133.88993710691824,41.80110497237569,75.3219814241486,80.08231707317073,91.84023668639053,98.70358306188925,75.12662337662337,85.25225481450234,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
LEBench cpu,7,47.37273991655076,37.41931385006353,27.016235718580877,65.1882618510158,29.803541597059805,32.45347467608952,26.714424007744434,37.9954273738721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEBench getpid,7,25.1325151521766,52.755656108597286,17.50396170193554,18.022921953392867,64.20759193357058,64.34390243902439,17.2725182622872,37.0341525072835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEBench context_switch,7,40.30797226480666,40.809926866283085,39.39397738917584,41.05546010794844,41.06395824597145,40.444310179715195,41.222820815991206,40.61406083855598,1572655.0,1473270.0,1472666.0,1572665.0,1461836.0,1473274.0,1572845.0,1514173.0
LEBench send,7,35.45134243450262,35.92996222970146,35.17439670242917,36.29257660159108,35.80352895536354,37.36621524078957,35.53294183723526,35.93585200023038,53963.0,53991.0,57962.0,53991.0,53962.0,57962.0,55963.0,55399.142857142855
LEBench recv,7,36.58683554877272,34.055830602587754,34.506651083323945,34.91751646220322,34.23526151183856,34.4116174301229,36.10482588857334,34.97407693248892,58082.0,56083.0,58082.0,57473.0,60084.0,57473.0,58084.0,57908.71428571428
LEBench big_send,7,36.13238695133487,36.69869375322626,35.779827691773434,36.48661816147214,37.593314296913704,36.88072868391451,36.493805923224016,36.58076792312271,495026.0,505148.0,495026.0,505025.0,515146.0,515025.0,505026.0,505060.28571428574
LEBench big_recv,7,35.81760675864705,35.52594993739471,35.73407275162399,35.25063458485159,36.195925939014806,35.91884169940167,35.95610598172537,35.77130537895131,529668.0,539667.0,519667.0,549852.0,529854.0,519667.0,519854.0,529747.0
LEBench fork,7,37.90791177303917,36.86017105375005,37.466068704483604,38.16891639305241,38.125272215980104,37.08394140783254,38.18613006522176,37.68548737333708,339999.0,360000.0,339999.0,360000.0,339999.0,339999.0,339999.0,345713.5714285714
LEBench thr_create,7,27.237890593259362,28.0215554094048,32.293607060431114,26.155751720112896,24.982470907462144,25.05436629369579,25.53089794547513,27.03950570426303,17.0,16.0,18.0,18.0,17.0,17.0,17.0,17.142857142857142
LEBench big_fork,7,55.88414781383566,54.443947616226005,58.67200057644106,55.47865814493204,58.512049343471766,56.12955317308317,56.4607450359358,56.51158595770364,90000.0,85000.0,100000.0,85000.0,90000.0,90000.0,90000.0,90000.0
LEBench huge_fork,7,61.43983754986948,60.81671148720164,62.63547095268026,62.33944643430858,58.7408567900014,59.508087239077284,58.86889930039575,60.621329964790625,85001.0,90001.0,90000.0,85000.0,85000.0,90000.0,95002.0,88572.0
LEBench small_write,7,32.62923204352287,27.091263786687087,30.99126946854622,35.37907949790795,30.595555060108776,28.13260171431697,28.187605638141,30.429515315604412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LEBench small_read,7,35.88815585221981,21.99428240048568,20.08838507814847,29.497808265015895,35.47038104386807,20.359278752611427,21.429756487087847,26.389721125633887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEBench small_mmap,7,30.993984108967084,30.778064369606124,26.737046285383247,18.55091050126264,20.945905755747596,21.595196766755617,19.526873136321154,24.161140132006206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEBench small_munmap,7,36.00312138575718,38.119394665125114,36.434034721292804,38.60997120617894,35.796481231819534,37.389632455761,36.04426940802259,36.91384358199389,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
