name,times,pgwalk_latency_iter_0,pgwalk_latency_iter_1,pgwalk_latency_iter_2,pgwalk_latency_iter_3,pgwalk_latency_iter_4,avg_latency,pf_iter_0,pf_iter_1,pf_iter_2,pf_iter_3,pf_iter_4,avg_pf
LEBench ref,5,141.99622641509433,122.53333333333333,54.61866666666667,71.20984455958549,101.43150684931507,98.35791556479899,0.0,0.0,0.0,0.0,0.0,0.0
LEBench cpu,5,55.98738965952081,42.529933481152995,39.139310344827585,27.86996098829649,32.746786632390744,39.65467622123772,3.0,3.0,3.0,3.0,3.0,3.0
LEBench getpid,5,49.40947546531303,19.07026908226315,61.50743494423792,57.37248322147651,82.46952595936794,53.9658377345317,0.0,0.0,0.0,0.0,0.0,0.0
LEBench context_switch,5,38.10874879460091,38.80487946152885,38.840238321070416,37.565949330126024,38.11467014078592,38.28689720962242,1472316.0,1473085.0,1572809.0,1472839.0,1473118.0,1492833.4
LEBench send,5,36.72305901937813,35.224502392205196,35.30141508063345,36.73370597255659,36.67300042848638,36.13113657865195,32396.0,32437.0,32452.0,34678.0,34429.0,33278.4
LEBench recv,5,35.98200256242899,35.121510711785106,38.00839689622579,35.34166074264539,35.11424079353122,35.9135623413233,40397.0,40473.0,36397.0,40392.0,34617.0,38455.2
LEBench big_send,5,37.51941962432856,37.360124888363714,37.215303902948484,37.58791489423902,37.14231155501219,37.36501497297839,400101.0,410101.0,390100.0,400099.0,410099.0,402100.0
LEBench big_recv,5,38.670846381398015,39.0991498231425,39.0127493832753,38.959309804032856,39.345427103683555,39.01749649910645,640101.0,640065.0,660101.0,640102.0,640033.0,644080.4
LEBench fork,5,36.9603503510731,37.27224035281348,36.86694986986892,37.023526116536374,38.15172973690776,37.254959285439924,360338.0,400124.0,400006.0,340336.0,340002.0,368161.2
LEBench thr_create,5,23.929915402393156,24.68878314299871,24.72447320335943,25.74769751240152,25.989678221852504,25.016109496601064,18.0,21.0,45.0,69.0,68.0,44.2
LEBench big_fork,5,42.02864473251882,43.611038007778404,44.964396483140256,42.93658898750941,45.20981176522879,43.75009599523513,85092.0,90093.0,85092.0,90093.0,100092.0,90092.4
LEBench huge_fork,5,40.189963737817095,39.28843641424462,40.787199283140595,39.455732026790656,38.833851415649036,39.711036575528404,90073.0,85068.0,90070.0,85070.0,95070.0,89070.2
LEBench small_write,5,25.81281110094568,28.115357796993848,29.117341827944063,26.587837465633715,32.00783004687628,28.328235647678717,0.0,0.0,0.0,0.0,0.0,0.0
LEBench small_read,5,19.888801085705452,23.343516329008757,24.42931466679279,42.15558597205762,22.673221835788326,26.49808797787059,0.0,0.0,0.0,0.0,0.0,0.0
LEBench small_mmap,5,27.051936170922414,29.907831900668576,37.18008040461678,25.496759634301586,29.657377464075815,29.85879711491703,0.0,0.0,0.0,0.0,0.0,0.0
LEBench small_munmap,5,36.753136621329574,38.63407386426301,37.03858816285386,39.003922406670455,38.279986577577176,37.94194152653882,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
LEBench small_page_fault,5,34.109418994755025,36.39020487815114,34.1222922613716,36.661536452762675,38.04643780761319,35.86597807893072,49997.0,49997.0,49996.0,49998.0,49996.0,49996.8
LEBench mid_write,5,25.436356364921547,25.43476099703207,26.494041269285272,25.71300251683559,27.668792249559232,26.149390679526743,7.0,7.0,7.0,7.0,7.0,7.0
LEBench mid_read,5,36.67049009384776,31.537289408734843,37.273725639560716,24.018077575349754,38.6,33.61991654349862,0.0,0.0,0.0,0.0,0.0,0.0
LEBench mid_mmap,5,38.71424062618356,30.66551326412918,300.5886023784293,45.08954035533449,28.1310892996929,88.6377971847539,0.0,0.0,0.0,0.0,0.0,0.0
