name,times,load_time_iter_0,load_time_iter_1,load_time_iter_2,load_time_iter_3,load_time_iter_4,load_time_iter_5,load_time_iter_6,avg_load_time,run_time_iter_0,run_time_iter_1,run_time_iter_2,run_time_iter_3,run_time_iter_4,run_time_iter_5,run_time_iter_6,avg_run_time
graphbig_bc,7,0.196339,0.193555,0.196327,0.195585,0.195888,0.196195,0.194885,0.19553914285714286,127.338,118.88,128.061,123.161,126.985,135.001,122.036,125.92314285714285
graphbig_bfs,7,32.0795,32.0428,32.0053,32.3795,32.3133,32.0773,32.0591,32.13668571428572,2.6109,2.6115,2.61072,2.61197,2.6131,2.61382,2.61162,2.611947142857143
graphbig_dfs,7,31.2815,31.3444,31.3621,31.2963,31.8954,31.4639,31.3329,31.425214285714283,2.61102,2.60588,2.60882,2.60894,2.60841,2.60908,2.60786,2.6085728571428572
graphbig_dc,7,31.793,31.5096,31.5368,31.7504,31.5308,31.4677,31.77,31.62261428571429,2.47588,2.47392,2.47636,2.47408,2.47742,2.47549,2.4759,2.4755785714285716
graphbig_sssp,7,32.0565,31.9881,32.0529,32.2918,32.2661,32.0331,32.5555,32.17771428571428,2.96157,2.95425,2.95441,2.95441,2.95393,2.95489,2.95331,2.9552528571428565
graphbig_cc,7,31.6574,32.5711,31.8592,31.7725,32.1903,31.8577,31.7145,31.9461,2.64054,2.64685,2.63883,2.64065,2.64048,2.63775,2.63603,2.6401614285714285
graphbig_tc,7,31.9654,32.2689,31.9578,31.982,32.2437,32.8115,32.2003,32.20422857142857,15.0867,15.0775,15.0764,15.0885,15.0736,15.0897,15.0745,15.080985714285715
graphbig_pagerank,7,32.0203,31.8308,32.0265,32.0422,31.839,32.0563,32.4371,32.036028571428574,5.14666,5.14412,5.16569,5.1687,5.16511,5.16215,5.17655,5.161282857142858
sysbench,7,,,,,,,,,17.6024,17.6026,17.6021,17.6028,17.6028,17.6035,17.6063,17.603214285714284
gups,7,,,,,,,,,13.321,13.314,13.324,13.317,13.319,13.316,13.319,13.31857142857143
mummer,7,,,,,,,,,69.17,71.11,71.03,71.07,71.06,68.81,69.0,70.17857142857143
