name,times,load_time_iter_0,load_time_iter_1,load_time_iter_2,load_time_iter_3,load_time_iter_4,load_time_iter_5,load_time_iter_6,avg_load_time,run_time_iter_0,run_time_iter_1,run_time_iter_2,run_time_iter_3,run_time_iter_4,run_time_iter_5,run_time_iter_6,avg_run_time
graphbig_bc,7,0.195198,0.193477,0.198296,0.193179,0.195043,0.192154,0.193012,0.19433699999999998,122.821,123.676,122.84,123.875,123.82,122.939,123.101,123.29599999999998
graphbig_bfs,7,33.1615,32.5923,32.5296,32.4542,32.4768,32.4745,32.719,32.6297,2.61343,2.61543,2.6156,2.61528,2.61401,2.61539,2.61426,2.6147714285714287
graphbig_dfs,7,31.7605,31.9114,31.7449,32.3728,31.8318,31.8706,31.8572,31.907028571428572,2.61229,2.61509,2.61237,2.61276,2.6106,2.61302,2.61273,2.612694285714286
graphbig_dc,7,32.0358,32.214,32.0538,32.3385,32.2043,31.9978,32.7652,32.22991428571429,2.48032,2.4819,2.47991,2.48413,2.48104,2.4812,2.48428,2.4818257142857143
graphbig_sssp,7,32.48,32.4482,32.6775,32.4775,32.5145,32.5126,32.7056,32.54512857142857,2.96516,2.96716,2.9674,2.97097,2.96593,2.97304,2.96634,2.968
graphbig_cc,7,32.3288,32.1066,32.3446,32.1541,32.1314,32.1318,32.1801,32.19677142857143,2.6417,2.64321,2.64316,2.64314,2.64332,2.64293,2.6428,2.6428942857142856
graphbig_tc,7,32.529,32.4652,32.7428,32.5523,32.5238,32.4328,32.412,32.522557142857146,15.1369,15.1482,15.138,15.1392,15.1428,15.1528,15.1453,15.143314285714286
graphbig_pagerank,7,32.8472,32.5326,32.3015,32.5301,32.5937,32.5312,32.5344,32.552957142857146,5.15253,5.17464,5.18337,5.17454,5.17539,5.17706,5.17408,5.173087142857143
sysbench,7,,,,,,,,,17.9672,17.8715,17.9213,17.9017,17.9067,17.9128,17.9548,17.919428571428572
gups,7,,,,,,,,,43.802,43.929,43.982,43.874,43.953,43.889,43.723,43.87885714285714
mummer,7,,,,,,,,,75.73,75.79,75.87,75.86,75.98,75.78,75.98,75.85571428571428
