name,times,pgwalk_latency_iter_0,pgwalk_latency_iter_1,pgwalk_latency_iter_2,pgwalk_latency_iter_3,pgwalk_latency_iter_4,pgwalk_latency_iter_5,pgwalk_latency_iter_6,avg_latency,pf_iter_0,pf_iter_1,pf_iter_2,pf_iter_3,pf_iter_4,pf_iter_5,pf_iter_6,avg_pf
LEBench ref,7,85.13779527559055,85.58108108108108,69.66891891891892,157.6,93.68085106382979,135.00625,77.97206703910615,100.66385191121807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEBench cpu,7,56.11038107752957,33.23621103117506,24.362732919254658,28.939506172839508,24.804878048780488,40.25832223701731,44.04137931034483,35.96477297099163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEBench getpid,7,23.078985416651346,17.97335868413656,21.70274019693972,19.289566169458027,71.02571428571429,25.524653376560668,18.22934156041323,28.117765669981974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEBench context_switch,7,38.95049329195125,39.969183741631774,38.37888932961392,41.21041737199091,38.71471430328573,38.434418430354995,40.173488634514186,39.40451501476325,1472818.0,1471501.0,1774353.0,1500100.0,1774347.0,1675451.0,1472938.0,1591644.0
LEBench send,7,35.66571498559808,36.23298460225454,37.0611177889047,35.84538369176773,35.310116233962155,36.2285341417168,36.51659874695054,36.12292145587922,55963.0,55962.0,54591.0,55963.0,55962.0,53963.0,57962.0,55766.57142857143
LEBench recv,7,33.84173875209416,34.375948279256804,36.09198853957311,37.75274089676962,36.81699989586588,34.80801587272282,35.84801467338904,35.64792098709592,58084.0,57473.0,58082.0,62082.0,57472.0,58082.0,58083.0,58479.71428571428
LEBench big_send,7,36.39158746224374,36.44379762509673,36.55780090744123,37.78788926802892,36.287933429830275,36.24014608067588,36.19979539658148,36.55842145284261,495025.0,495025.0,505025.0,505147.0,495025.0,505025.0,515026.0,502185.4285714286
LEBench big_recv,7,35.33491726874212,35.92817402087022,35.582962232670724,35.77434264050977,35.43276996563482,35.711755629602415,35.49906370596151,35.60914078057022,529668.0,519852.0,519667.0,519853.0,519853.0,519852.0,519854.0,521228.4285714286
LEBench fork,7,37.87785586951622,37.63165023810867,37.70544699502501,36.48754869229922,39.0306295429061,37.14654893862477,36.5156329277693,37.48504474346419,380000.0,339999.0,380000.0,359999.0,339999.0,359999.0,360000.0,359999.4285714286
LEBench thr_create,7,27.247314153182977,25.304908986537786,29.19924918464752,27.368474023095374,24.6011948805234,30.077800720220434,26.862613207659443,27.237365022266708,17.0,18.0,17.0,19.0,17.0,17.0,17.0,17.428571428571427
LEBench big_fork,7,45.15328250988905,43.59152345129888,44.52281066649505,45.83402369085499,45.111369802768294,42.02206740102391,43.502054784227056,44.248161758079604,90001.0,90000.0,85000.0,84999.0,90001.0,84999.0,90001.0,87857.28571428571
LEBench huge_fork,7,50.92588902121893,44.58878938631577,46.9001579086291,49.36368483085712,45.75706226388766,50.0770242132459,49.77493469400613,48.19822033116579,85000.0,90000.0,84999.0,90000.0,85000.0,90001.0,90000.0,87857.14285714286
LEBench small_write,7,25.72131353498612,25.358308963130817,25.342740491929316,35.094428274428275,27.416593305091588,28.399036921434146,25.76756126679138,27.585711822541665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LEBench small_read,7,25.328816153238545,21.294373329728494,20.307620485314814,20.55861515096095,41.217096948907745,18.445744975713488,40.92811671087533,26.868626250677057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEBench small_mmap,7,21.21534041520382,19.63811231423143,22.69456916752024,24.26202456311205,27.634116387454338,22.256620929220283,32.15186778799139,24.26466450924765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
