name,times,pgwalk_latency_iter_0,pgwalk_latency_iter_1,pgwalk_latency_iter_2,pgwalk_latency_iter_3,pgwalk_latency_iter_4,avg_latency,pf_iter_0,pf_iter_1,pf_iter_2,pf_iter_3,pf_iter_4,avg_pf
LEBench ref,5,55.02906976744186,49.809859154929576,52.17333333333333,121.85534591194968,71.91911764705883,70.15734516294266,0.0,0.0,0.0,0.0,0.0,0.0
LEBench cpu,5,39.5528781793842,30.471264367816094,25.440225035161745,22.588014981273407,20.014018691588785,27.61328025104485,3.0,4.0,4.0,4.0,4.0,3.8
LEBench getpid,5,95.85350318471338,81.57718120805369,33.51437699680511,72.30563002680965,65.15072463768117,69.68028321081259,0.0,0.0,0.0,0.0,0.0,0.0
LEBench context_switch,5,39.690555164577816,39.862783959865745,39.60231905526032,39.7580474005746,41.48045240656941,40.07883159736958,1471512.0,1472988.0,1574284.0,1573116.0,1470857.0,1512551.4
LEBench send,5,36.00996119844638,35.19545995060524,35.74124129389277,36.37723660982831,36.47244662830138,35.959269136214814,32466.0,32614.0,32529.0,32392.0,32391.0,32478.4
LEBench recv,5,42.053091324697945,35.89979794350076,35.83115691662208,37.43361261130793,37.473690004214,37.73826976006855,34461.0,36461.0,34814.0,36397.0,34397.0,35306.0
LEBench big_send,5,36.7876904437324,37.21903666137156,37.72419381923917,37.62223226957753,37.69971533360312,37.41057370550476,390101.0,390100.0,390037.0,400023.0,400028.0,394057.8
LEBench big_recv,5,39.10488478975219,38.44980478894179,39.17424320954906,39.30381712895519,38.831294616700006,38.97280890677965,640101.0,670033.0,640023.0,640061.0,650058.0,648055.2
LEBench fork,5,36.87482604985096,37.69637937038015,37.544054008654825,37.53033410604546,37.533532529033714,37.43582521279302,400219.0,340005.0,360335.0,360336.0,360019.0,364182.8
LEBench thr_create,5,27.4901391392585,24.426882268851422,24.87269523469023,24.22186497496597,24.608178098468734,25.123951943246972,21.0,69.0,15.0,21.0,19.0,29.0
LEBench big_fork,5,44.708926615682444,41.97605950289026,45.77091796370466,44.69885626621433,42.99015812182451,44.02898369406324,90093.0,85093.0,95093.0,100094.0,95092.0,93093.0
LEBench huge_fork,5,40.74510968401242,41.18236281203396,40.98786499946492,41.364996054860995,41.97528872653914,41.25112445538228,85068.0,90071.0,90070.0,85069.0,95071.0,89069.8
LEBench small_write,5,27.360211702296702,47.87191711161963,124.6151875723021,33.42253761969904,35.43043838617056,53.74005847841761,0.0,0.0,0.0,0.0,0.0,0.0
LEBench small_read,5,18.14094802796864,28.429447357805568,49.200331323915144,21.611626910441366,21.76308652020613,27.82908802806737,0.0,0.0,0.0,0.0,0.0,0.0
LEBench small_mmap,5,27.690865981709383,25.547623056631306,42.023864013713506,28.96118373034304,22.937985825331506,29.432304521545746,0.0,0.0,0.0,0.0,0.0,0.0
LEBench small_munmap,5,36.764779307793845,37.3100285457936,36.90513234207878,37.630976692537374,37.18955651370876,37.16009468038247,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
LEBench small_page_fault,5,35.52591519783064,35.61512816804391,35.03974049775409,40.88754880766381,33.82734276815474,36.17913508788944,49996.0,49996.0,49996.0,49996.0,49996.0,49996.0
LEBench mid_write,5,23.024793412707506,32.597693678972,40.056817087100725,24.564124343003165,30.317303878712924,30.112146480099263,7.0,7.0,7.0,7.0,7.0,7.0
LEBench mid_read,5,34.70735201421122,36.1115087073578,162.71283086585913,30.513017925359975,30.225320026036016,58.85400590776483,0.0,0.0,0.0,0.0,0.0,0.0
LEBench mid_mmap,5,26.10777972556368,24.02168528812813,24.937171704124687,36.01380866968186,21.623682844643636,26.540825646428395,0.0,0.0,0.0,0.0,0.0,0.0
LEBench mid_munmap,5,31.40733348425469,30.724743916395827,31.816910007303346,31.505061665486267,32.38362494710295,31.567534804108618,999998.0,999999.0,999998.0,999999.0,999998.0,999998.4
LEBench mid_page_fault,5,38.958941978450035,35.072618261524475,37.772440085868126,45.26799110973494,43.75125101346292,40.1646484898081,49998.0,49998.0,49998.0,49998.0,49998.0,49998.0
LEBench big_write,5,32.56658963776233,31.78234194574009,32.64142836025479,31.69211938213642,32.85272664355166,32.30704119388906,1509.0,494.0,977.0,977.0,1488.0,1089.0
LEBench big_read,5,59.558931102272204,41.085709584146315,49.95929608107736,55.84527403622852,41.971691132593385,49.68418038726355,508.0,476.0,478.0,477.0,477.0,483.2
LEBench big_mmap,5,25.614586752445348,21.535165876777253,21.438282170404783,28.94716897012929,22.236820216263318,23.954404797204,0.0,0.0,0.0,0.0,0.0,0.0
LEBench big_munmap,5,32.5004140046917,31.971216602241427,31.883910426115538,31.87096814712056,32.43816918638811,32.132935673311465,2499998.0,2499998.0,2499998.0,2499998.0,2499998.0,2499998.0
LEBench big_page_fault,5,27.575600449794393,27.29247848058877,27.48319347437692,27.325239155341524,28.870875020911917,27.7094773162027,49998.0,49998.0,49998.0,49998.0,49998.0,49998.0
LEBench huge_write,5,48.29413668684896,43.205302650631396,48.09829689628403,47.311276946044366,42.671621475907486,45.91612693114324,730002.0,2005476.0,729797.0,730003.0,2005414.0,1240138.4
LEBench huge_read,5,37.99235673440676,39.946278487754626,35.42219075664058,35.223295669056355,35.60790750373077,36.838405830317825,2919992.0,2920014.0,8007831.0,8030003.0,8030032.0,5981574.4
LEBench huge_mmap,5,24.45109658839167,26.862337662337662,23.81031682471727,19.67553005422003,35.80764367922949,26.12138496177922,0.0,0.0,0.0,0.0,0.0,0.0
LEBench huge_munmap,5,33.81852499223036,32.929099462347565,32.31279356157312,32.499711729706725,31.601403302057903,32.63230660958313,24971017.0,25000003.0,24976373.0,25000000.0,24992543.0,24987987.2
LEBench huge_page_fault,5,28.422975780161984,38.90893961280658,27.152829118821554,27.462297565202707,27.347494306833102,29.858907276765187,49998.0,49998.0,49998.0,49998.0,49998.0,49998.0
LEBench select,5,29.757126026326368,30.1027534972716,31.345831662292287,30.377076426012263,27.99427342033158,29.91541220644682,0.0,0.0,0.0,0.0,0.0,0.0
LEBench poll,5,30.915880565477014,31.104258642978888,32.48811774000352,29.862731737942706,29.67119236677937,30.8084362106363,0.0,0.0,0.0,0.0,0.0,0.0
LEBench epoll,5,30.28289198302733,31.085477485577044,30.33501570723462,31.15807370716548,34.17548637405008,31.40738905141091,0.0,0.0,0.0,0.0,0.0,0.0
LEBench select_big,5,30.11426318470863,32.89515968969158,32.658683233256475,33.15975652782875,33.38555756986503,32.44268404107009,0.0,0.0,0.0,0.0,0.0,0.0
LEBench poll_big,5,33.13637886196502,33.2809461325897,32.83572747904169,33.10242417548619,30.164616351629466,32.50401860014241,0.0,0.0,0.0,0.0,0.0,0.0
LEBench epoll_big,5,33.670144770567546,33.38471625760189,33.28467627986294,33.637368971853995,31.953437175330357,33.18606869104334,3.0,3.0,3.0,3.0,3.0,3.0
