name,times,pgwalk_latency_iter_0,pgwalk_latency_iter_1,pgwalk_latency_iter_2,pgwalk_latency_iter_3,pgwalk_latency_iter_4,pgwalk_latency_iter_5,pgwalk_latency_iter_6,avg_latency,pf_iter_0,pf_iter_1,pf_iter_2,pf_iter_3,pf_iter_4,pf_iter_5,pf_iter_6,avg_pf
LEBench ref,7,108.03296703296704,48.28678304239401,41.04984423676012,93.52513966480447,38.099730458221025,120.1986531986532,53.18960244648318,71.76896001146899,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
LEBench cpu,7,27.564625850340136,53.188579017264274,54.1426735218509,43.63302752293578,30.613387978142075,38.02695035460993,30.947222222222223,39.730923781052184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEBench getpid,7,101.15579710144928,79.93516699410608,18.35508300178351,84.79123173277662,65.89678510998309,102.15094339622641,104.50652741514361,79.54164782163836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEBench context_switch,7,39.47119164018648,42.07465281814365,39.13024509163865,42.351597976491675,42.57437827542404,42.591699444002366,41.063865685274564,41.32251870445163,1572892.0,1472366.0,1773175.0,1472088.0,1456373.0,1472435.0,1571292.0,1541517.2857142857
LEBench send,7,37.831110839701935,35.72243841446619,36.46896942873347,35.28175471920074,35.69726830133888,35.986571097501354,36.950287765985536,36.27691436670402,55962.0,57962.0,53963.0,53962.0,53962.0,55963.0,53962.0,55105.142857142855
LEBench recv,7,36.40746082209165,35.1202380342444,36.51654719727555,34.3260581232947,34.8125261825349,36.04656150771789,35.77494155244254,35.57204763137166,59472.0,65472.0,57472.0,64084.0,60082.0,61472.0,58082.0,60876.57142857143
LEBench big_send,7,36.332989796566686,36.71841156679985,35.791284833613126,36.069803204465664,36.199201156957685,36.71047605412246,36.016211138857706,36.26262539305474,495148.0,505025.0,495026.0,495026.0,505025.0,495025.0,505025.0,499328.5714285714
LEBench big_recv,7,35.78920263061531,35.10411402839551,35.764105495082326,35.91557887238202,36.00327243245805,35.20183084898027,35.44393020681114,35.603147787817804,529667.0,519854.0,529852.0,529667.0,519852.0,549667.0,529853.0,529773.1428571428
LEBench fork,7,38.49273116957074,37.2480228028762,38.2399798084325,37.870853754441995,38.163632097869744,37.278078091782,38.20309328519091,37.92805585859487,380000.0,360000.0,339999.0,360000.0,359999.0,359999.0,339999.0,357142.28571428574
LEBench thr_create,7,26.4143524945207,26.446200063744804,26.48606700826327,26.50350123070842,26.878175500151816,27.818452267865883,29.439249258463743,27.14085683195981,18.0,17.0,18.0,17.0,17.0,17.0,17.0,17.285714285714285
LEBench big_fork,7,65.28410488629102,63.81028891966918,59.05537802310828,60.552360566075635,58.71471705042302,57.34513555908607,60.58896515876867,60.764421451917414,90000.0,84999.0,85000.0,84999.0,85000.0,84999.0,90000.0,86428.14285714286
LEBench huge_fork,7,54.338802814961944,53.42122067025516,54.29714292171508,54.35601902602192,56.22238422295169,53.339675075438905,58.85864352652551,54.97626975112431,90000.0,95000.0,84999.0,84999.0,89999.0,85000.0,95000.0,89285.28571428571
LEBench small_write,7,25.61286571710472,29.821546381959436,27.09704331602057,27.850181338937826,33.44808292961677,27.17345255544885,28.34536215231001,28.478362055914026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LEBench small_read,7,66.25166473653735,37.979717237629146,39.50805814024205,26.031733706062017,55.834420760510156,44.11399474375821,53.09385731693808,46.11620666309671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEBench small_mmap,7,20.29334620605835,20.8303077863274,30.750644348013534,41.013685809140355,40.16745608249895,20.96856835853223,41.65313262815297,30.811020174103398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
