name,times,load_time_iter_0,load_time_iter_1,load_time_iter_2,load_time_iter_3,load_time_iter_4,load_time_iter_5,load_time_iter_6,avg_load_time,run_time_iter_0,run_time_iter_1,run_time_iter_2,run_time_iter_3,run_time_iter_4,run_time_iter_5,run_time_iter_6,avg_run_time
graphbig_bc,7,0.195789,0.193828,0.196444,0.19722,0.194926,0.19618,0.19503,0.19563099999999997,128.092,123.383,129.616,130.317,122.686,131.416,123.73,127.03428571428572
graphbig_bfs,7,31.9091,31.9342,32.0403,32.5124,31.8117,32.1715,32.1942,32.08191428571429,2.61172,2.61327,2.61226,2.61269,2.61151,2.61163,2.61172,2.6121142857142856
graphbig_dfs,7,31.1695,31.8143,31.1612,31.1877,31.4842,31.1713,31.3413,31.332785714285716,2.60298,2.60324,2.60574,2.60484,2.60256,2.60477,2.6035,2.6039471428571432
graphbig_dc,7,31.784,31.4996,31.5458,31.6261,31.4956,31.6678,31.74,31.622700000000002,2.47817,2.47796,2.47719,2.47839,2.47871,2.48495,2.47821,2.4790828571428567
graphbig_sssp,7,31.7741,31.9142,31.9135,32.1623,31.8676,31.9441,32.4596,32.00505714285714,2.95454,2.95638,2.95928,2.95179,2.95539,2.95247,2.95059,2.954348571428571
graphbig_cc,7,31.8554,31.9242,31.8936,31.9582,32.4426,31.9247,31.9184,31.988157142857144,2.63862,2.64024,2.64064,2.64677,2.63919,2.63972,2.64337,2.6412214285714284
graphbig_tc,7,32.4648,32.4691,32.152,31.941,31.8776,31.8183,32.1802,32.129,15.091,15.0754,15.0845,15.0887,15.0875,15.0886,15.0811,15.085257142857143
graphbig_pagerank,7,31.8773,31.8795,32.3962,31.8774,32.4387,32.1375,31.935,32.077371428571425,5.1499,5.14621,5.14932,5.14853,5.14539,5.16604,5.16779,5.153311428571428
sysbench,7,,,,,,,,,17.6031,17.6007,17.5999,17.6037,17.6015,17.5993,17.5992,17.601057142857144
gups,7,,,,,,,,,13.321,13.315,13.316,13.322,13.318,13.32,13.315,13.318142857142858
mummer,7,,,,,,,,,69.03,69.17,71.12,71.19,71.08,71.17,71.12,70.55428571428571
