name,times,pgwalk_latency_iter_0,pgwalk_latency_iter_1,pgwalk_latency_iter_2,pgwalk_latency_iter_3,pgwalk_latency_iter_4,pgwalk_latency_iter_5,pgwalk_latency_iter_6,avg_latency,pf_iter_0,pf_iter_1,pf_iter_2,pf_iter_3,pf_iter_4,pf_iter_5,pf_iter_6,avg_pf
LEBench ref,7,80.41333333333333,52.203592814371255,153.3542857142857,74.41258741258741,104.51933701657458,49.191489361702125,268.1870503597122,111.75452514465238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEBench cpu,7,24.433378196500673,26.912328767123288,44.90393518518518,23.067385444743934,27.160477453580903,28.040097205346296,37.72627737226277,30.32055423210615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEBench getpid,7,68.67885117493472,18.70568474133234,20.02793186128905,18.974368396142577,26.887275723717124,30.311764705882354,16.712741633755975,28.614088319579164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEBench context_switch,7,43.09380118164698,42.06204614936397,43.70776700981878,42.460497365328926,38.637151111416905,42.282909275176486,41.60374149835045,41.9782733701575,1472424.0,1472420.0,1472511.0,1472471.0,1672944.0,1472641.0,1472407.0,1501116.857142857
LEBench send,7,36.584933595529066,38.10496229301415,39.953380823421895,37.7684846411796,35.44426833895296,36.30580942375968,37.41356244237159,37.367914508318414,53964.0,53962.0,53962.0,53964.0,53963.0,53963.0,53991.0,53967.0
LEBench recv,7,36.81266127905352,36.76842363555176,36.90543301237178,36.60142273998742,36.042604194902246,37.58139443319003,36.07523895885305,36.6838826077014,63473.0,58082.0,63472.0,56083.0,57473.0,59304.0,61472.0,59908.42857142857
LEBench big_send,7,36.20619201501095,36.94179177298937,36.50157919417157,35.85244434495434,36.152932339574726,36.27886306123694,35.882034368000866,36.25940529941982,505025.0,535025.0,495026.0,505025.0,495262.0,495025.0,495026.0,503630.5714285714
LEBench big_recv,7,36.00320404568,35.97140564394018,35.16400143036555,35.470093259835906,35.704427170876606,35.98038378980963,36.09627085777886,35.7699694568981,509853.0,539668.0,519853.0,559667.0,509853.0,519854.0,509853.0,524085.85714285716
LEBench fork,7,37.94169952633249,38.774536259938714,38.48821313959597,38.694553063156086,39.556658781100644,38.07730135663397,37.6393265144181,38.45318409159656,339999.0,339999.0,359999.0,339999.0,339999.0,379999.0,359999.0,351427.5714285714
LEBench thr_create,7,32.36726161095372,26.383304102501853,26.739621128551367,27.574880448572923,31.28547382117797,27.64981043159169,32.41632358699476,29.20238216147775,16.0,16.0,16.0,17.0,18.0,18.0,17.0,16.857142857142858
