name,times,load_time_iter_0,load_time_iter_1,load_time_iter_2,load_time_iter_3,load_time_iter_4,load_time_iter_5,load_time_iter_6,avg_load_time,run_time_iter_0,run_time_iter_1,run_time_iter_2,run_time_iter_3,run_time_iter_4,run_time_iter_5,run_time_iter_6,avg_run_time
graphbig_bc,7,0.204693,0.19278,0.191662,0.193457,0.194808,0.195188,0.192693,0.19504014285714286,127.409,128.344,128.086,130.297,132.671,131.018,128.898,129.53185714285715
graphbig_bfs,7,33.0783,32.6749,32.3401,32.9543,32.6271,32.3885,32.711,32.68202857142857,2.61583,2.61495,2.61578,2.61541,2.61528,2.61472,2.61859,2.6157942857142857
graphbig_dfs,7,31.6044,31.6601,32.1088,31.7945,31.6317,31.578,31.8652,31.748957142857144,2.60722,2.60862,2.60901,2.60524,2.60759,2.60591,2.60661,2.6071714285714287
graphbig_dc,7,32.0605,31.969,32.0648,32.006,32.0101,32.1634,32.2168,32.07008571428572,2.48778,2.48383,2.4867,2.48536,2.48522,2.48639,2.48455,2.4856900000000004
graphbig_sssp,7,32.2872,32.6463,32.3031,32.687,32.3291,32.4231,32.6037,32.4685,2.96466,2.9658,2.96735,2.96403,2.9652,2.96908,2.96585,2.9659957142857145
graphbig_cc,7,32.3619,32.3515,32.3739,32.3557,32.6198,32.3814,32.5801,32.432042857142854,2.64542,2.64337,2.64322,2.64617,2.6466,2.64508,2.64715,2.6452871428571427
graphbig_tc,7,33.095,32.4522,32.9485,32.3698,32.4024,32.3517,32.3883,32.57255714285714,15.143,15.137,15.149,15.1596,15.1509,15.1503,15.1414,15.147314285714286
graphbig_pagerank,7,32.5659,32.3158,32.6135,32.3294,32.4013,32.8897,32.3605,32.496585714285715,5.18719,5.15456,5.18611,5.15658,5.1789,5.17773,5.18417,5.175034285714285
sysbench,7,,,,,,,,,17.9102,17.9064,17.951,17.9512,17.9148,17.9437,17.9343,17.930228571428575
gups,7,,,,,,,,,43.904,43.939,43.991,43.889,43.904,43.755,43.893,43.896428571428565
mummer,7,,,,,,,,,75.78,76.01,75.96,75.9,75.96,75.89,76.02,75.93142857142857
